OA,OP,n_shared,n_OP,n_OA,P,FDR,jaccard
yellow,magenta,4,20,110,0.39147085889386,0.998765793239611,0.0317460317460317
brown,magenta,2,20,47,0.396728862014963,0.998765793239611,0.0307692307692308
yellow,brown,6,40,110,0.627586582443611,0.998765793239611,0.0416666666666667
brown,brown,2,40,47,0.771126825426164,0.998765793239611,0.0235294117647059
green,magenta,1,20,66,0.867579193952388,0.998765793239611,0.0117647058823529
green,yellow,2,51,66,0.965471532945491,0.998765793239611,0.0173913043478261
brown,yellow,1,51,47,0.975411517948137,0.998765793239611,0.0103092783505155
green,brown,1,40,66,0.983551057094809,0.998765793239611,0.00952380952380953
yellow,yellow,2,51,110,0.998765793239611,0.998765793239611,0.0125786163522013
