gene,module,GS
LRP2,turquoise,0.194232956175313
SOX30,turquoise,0.295429163003879
YBX2,grey,-0.376566404153209
SNORD37,blue,-0.20493982796396
SCN5A,turquoise,0.238343822926209
RFX4,turquoise,-0.0827560842014692
SNHG9,turquoise,-0.00683221274155098
EPO,turquoise,0.284932610267165
GOLGA6L5,turquoise,0.0339726087936959
RPL13AP20,turquoise,-0.145963751279022
BTK,yellow,0.374944860847292
SBSN,yellow,0.44845835199929
BUB1B,brown,0.586098229283916
CNGB1,turquoise,0.0654241771827563
MIRLET7A1,blue,-0.0342879345374939
ROCK1P1,turquoise,0.149220151264999
PRKCG,turquoise,-0.256867526758319
LILRB1,yellow,0.323669233229964
ADRA1B,grey,-0.0932150145609309
AZGP1,green,-0.322769464640733
SIRPB2,turquoise,0.325267921053553
PRSS3,turquoise,0.123763132159458
FOLR1,turquoise,0.251846402254164
BNC1,turquoise,0.453979827631282
SLITRK6,yellow,0.458475991452494
RD3,turquoise,0.129501841917049
MMP28,yellow,0.483420276462098
SORCS1,turquoise,0.106545491704229
RFX8,brown,0.693245955220869
LOC402160,turquoise,-0.173780695870592
AQP10,grey,-0.502434711617923
EDNRB,turquoise,-0.0639513690950875
LRFN1,turquoise,0.205403200852486
FBXW12,grey,-0.130213589761516
MSC,yellow,0.462887086903963
MIR7-1,blue,-0.158502789285961
SNORD101,blue,-0.0417829813653684
ANKRD26P1,turquoise,-0.181177121756064
LIPJ,brown,0.349280230486618
ARPP21,turquoise,0.0878772513414389
LRRC4C,turquoise,0.175302018935063
EVPL,turquoise,0.263223992601895
ROS1,turquoise,0.359754488726695
SAA2,grey,0.0372360497761082
LOC100130899,turquoise,-0.0269812710781098
TMEM63C,turquoise,0.404429097415836
SYT7,yellow,0.336625035353118
HIST1H3C,brown,0.374295670569186
CDH2,brown,0.795595931563474
ADM,green,-0.881191267059476
KIAA1549L,turquoise,0.437430186092024
COL18A1-AS1,turquoise,-0.0944295717827429
PIK3C2G,turquoise,0.480632746426705
LINC00622,brown,0.380544235965591
DGKB,turquoise,0.350169105774188
TMEM238,turquoise,-0.0865547292841547
CLDND2,turquoise,-0.227287876124386
LOC389791,turquoise,0.254493556172684
ATP13A5,turquoise,0.0265212183509712
RAC2,yellow,0.670701153793495
PPEF2,turquoise,-0.006537746195192
ST8SIA5,turquoise,0.18721494911373
MIR4282,blue,0.239675055047845
SAA1,grey,-0.0570885012020254
SIX3,turquoise,0.34127459871016
CD163,yellow,0.524032978958644
MIR4523,blue,0.120527706548027
CRYAA,grey,-0.253581730857792
KYNU,yellow,0.50980473927235
MYH4,turquoise,0.26911401110475
BCAN,turquoise,-0.0405694267496131
NELL2,turquoise,0.214230477493663
IL25,turquoise,-0.0018694807418019
LOC158435,turquoise,-0.291593177926467
ADRB1,turquoise,-0.20698106246284
ST6GAL2,brown,0.749658986082144
RGS4,turquoise,0.585015444644656
CASS4,turquoise,0.0782146367374652
CREG2,turquoise,-0.143374016252543
KCNJ5,yellow,0.259142323649687
SCML4,turquoise,0.378748611842567
LOC100505918,grey,0.0886497623857291
LOC284412,turquoise,0.0173160439348377
HES7,turquoise,-0.31721811172497
MIR3605,blue,-0.305706690139818
HNF4A,turquoise,-0.0140696120685573
AMBN,turquoise,0.0221064174725509
LPHN3,turquoise,0.116191611723068
DDX4,turquoise,0.267998895045477
ASB2,turquoise,-0.114124893506936
GREM2,turquoise,0.0530111345020897
MX2,turquoise,-0.0829810629893613
LOC100498859,green,-0.603345852053457
GFRA1,turquoise,0.110712886369718
SNORD114-2,blue,-0.0914988807689914
CACNA1B,turquoise,0.145813227723751
C1orf233,brown,0.748097263197417
MIR3606,brown,0.503408147115442
AJAP1,turquoise,0.302995336206962
MCHR1,turquoise,0.356419826471889
CITED1,turquoise,0.119158601743297
CLECL1,turquoise,-0.00549456246415551
MIR4526,blue,0.0200287307575575
MIA,turquoise,0.11080803571654
SPDYE7P,turquoise,0.19728876112495
BLNK,yellow,0.204452016042639
KCNJ6,yellow,0.56214234108127
SNORA74A,blue,-0.0702350397304169
ATP1A4,turquoise,0.0658046003425864
ALOX15B,turquoise,0.345095480473321
KCP,turquoise,0.00109360996119698
TTTY15,grey,-0.273532466253467
GPR4,turquoise,-0.0938256329507889
NRG1,turquoise,0.386758600610689
IRX1,turquoise,-0.211104880886407
SNORD43,blue,-0.477406994089591
SNORD123,blue,-0.0801358666260413
ARHGEF15,turquoise,-0.0243223175440936
PPP1R17,turquoise,0.108999975252529
SNORD116-4,blue,0.138527988814507
MIR4269,blue,0.124028571753895
SNORD114-14,blue,0.00924675379455825
TMEM119,brown,0.710055289865762
C4orf48,turquoise,0.362107317920626
ADRA2C,turquoise,-0.120786914441071
NOBOX,turquoise,-0.113343984040434
MYO1A,turquoise,0.171633136859377
ANKRD33B,turquoise,0.135509273750421
LOC254896,green,-0.488166592334756
PTH2R,turquoise,0.282682279798634
CYP2S1,turquoise,-0.100779204284264
MIR186,blue,-0.0571566689981799
EBF2,turquoise,0.0815404381471501
CCDC175,turquoise,0.140778243866736
FLJ30838,turquoise,0.00946637099837065
FUT3,turquoise,-0.392859590066266
CLEC4GP1,turquoise,0.0586273499974891
TOP2A,brown,0.721869327761132
GRID1,turquoise,0.0245664243773216
KLRB1,brown,0.470650934212697
KCNH4,turquoise,0.24410264725581
EGLN2,turquoise,-0.117585716846269
MYH7,turquoise,0.0248804911995282
ILDR1,turquoise,0.347778449299136
APOBEC3H,green,-0.609446874035072
CD27,turquoise,0.0268447205290165
ATP4B,grey,0.224772086371413
SELE,turquoise,-0.249284359684217
TMEM61,turquoise,0.108061162222654
GDNF,yellow,0.560120854188218
PECAM1,yellow,0.0606729973906827
IGF2BP1,turquoise,0.228031196402325
APOBR,yellow,0.278951733152539
HGFAC,turquoise,-0.0460919683841792
FAM64A,yellow,0.413990518654604
EXOC3L2,turquoise,0.187769773333587
MIR29A,blue,-0.239642227967324
MYO18B,turquoise,0.101701525701555
TFEC,yellow,0.347930908648711
NLRP12,yellow,0.31042683313387
APOF,green,-0.530675077469258
SKAP1,grey,-0.410502352557714
GRIA2,brown,0.811196089742966
GCNT2,turquoise,0.240690730111169
LOC400548,turquoise,-0.34911173142476
IGDCC3,turquoise,0.00903960656514887
CHGB,turquoise,0.0828621861841602
SNORD116-24,blue,0.618381399440141
CSF3,grey,-0.226198139088978
PIP5K1B,turquoise,0.178725695790853
SLC4A10,turquoise,0.185442458748263
WNT8A,turquoise,-0.0284533955319227
CRTAM,turquoise,0.199913720234412
MELK,brown,0.612311100538225
RUFY4,turquoise,0.196918150720881
MS4A4A,yellow,0.394667628604423
APOA5,turquoise,-0.0103734781872465
MIR3661,blue,-0.225612226975742
SCN1A,turquoise,0.238976148572899
ZNF467,turquoise,0.0394336246016988
FSCB,yellow,0.37552290615867
LINC00707,yellow,0.401623873626716
VSX2,grey,-0.278731489364639
SNORD83A,blue,-0.104768913329699
LGALS12,turquoise,0.0458980348453616
VAV1,turquoise,0.444255245669489
IYD,turquoise,0.21032505768649
JAKMIP2,turquoise,0.0794614329231097
TEKT4,turquoise,0.115326766033625
SULT4A1,turquoise,0.0156884630567608
CGN,turquoise,-0.165355539783877
SH2D5,grey,-0.129779494766531
SLC6A7,turquoise,0.354743258950469
CHRDL2,turquoise,-0.105577751613981
FCN3,turquoise,0.076110992502057
FAM71A,green,-0.612490869508288
EVA1A,brown,0.558224781216618
SECTM1,turquoise,0.161466504631247
SNORD114-26,grey,-0.0921070507567697
PCSK1N,turquoise,0.203292624031
ZAN,turquoise,-0.262620325639192
CNTN6,turquoise,0.108597746185184
CCR6,turquoise,0.00475403295884639
ABCB5,turquoise,0.40093010504951
FGD2,yellow,0.208092803578794
SCGB1B2P,turquoise,0.0725896965616906
LOC100130238,grey,-0.194595410249087
GPR84,grey,0.0138391456696209
MIR620,blue,-0.0909101559581119
MIR4434,blue,-0.240012410179776
LINC00299,yellow,0.0981684849504437
HCRTR2,turquoise,0.204232529692413
MPEG1,yellow,0.421636027898858
SNORA36A,grey,0.00325342648107465
SBK1,turquoise,0.255434607778755
TFAP2B,turquoise,0.0216721280210088
TSPAN16,grey,-0.112022448484219
HCK,yellow,0.438415822496695
SNORD117,blue,-0.158316495772201
HAO1,turquoise,0.25394937475507
NMNAT2,turquoise,-0.102650864448677
CATSPERB,turquoise,0.144775480904965
MEIG1,turquoise,0.0309591791464308
KRT8P41,yellow,0.364693687116719
SLC9A2,turquoise,0.372615347770194
HPD,turquoise,0.0197612041927526
GRIN2B,turquoise,0.297331551505472
LOC645949,brown,0.316306081224169
DRP2,turquoise,0.360286011501999
SNORD9,grey,0.238282608971602
RTKN2,yellow,0.388685211516978
WNT10B,turquoise,0.38497173331447
GALR2,green,-0.457636644258204
SMPDL3B,turquoise,0.193844979282749
PKD1L2,turquoise,0.0529203340994614
C10orf71,turquoise,-0.0614811061591138
FEZF1,turquoise,-0.181379740997409
HLA-DRA,yellow,0.63316771052267
MFAP5,turquoise,0.109753980792795
DKFZp451B082,turquoise,0.187509432815055
TREML2,turquoise,0.241193754009801
LINC00536,brown,0.328017885046651
AIF1,yellow,0.318626721347113
MIR605,grey,0.0450291072955617
PLVAP,grey,-0.00255100422042826
LOC100507391,turquoise,-0.407122319421368
LINC00461,turquoise,-0.173262353829445
LOC79015,turquoise,-0.212278423816383
EPHX3,turquoise,0.206691236817839
C17orf49,turquoise,0.0288431274694565
HFE2,grey,0.0091816744753549
KCNJ2-AS1,turquoise,0.254453936892719
SRCRB4D,turquoise,0.156923848144579
MEFV,turquoise,0.0754974764280862
FAM106CP,blue,-0.124944274045636
SLN,turquoise,0.235907497813299
SLC6A13,turquoise,0.0265950077088723
CCDC33,turquoise,-0.23767682243518
MIR647,turquoise,-0.22865498301151
CNTN5,turquoise,-0.0498921403202689
GRM4,turquoise,0.0986781232248856
LPA,turquoise,0.269509082652524
NELL1,brown,0.717478125405525
FOXD4,yellow,0.461391225367041
PKP3,grey,0.493774116900926
AZU1,turquoise,-0.163176488334109
TBL1Y,grey,-0.422718658655886
PI15,brown,0.18891458287484
OXCT2,grey,-0.124844734361292
CCDC83,yellow,0.401362603943922
RNU6-79,blue,0.121003686347956
AP1M2,turquoise,0.269462072481909
LOC340113,brown,0.647852291428124
HERC2P7,grey,-0.166661583765003
CA12,brown,0.491340739730295
CD86,yellow,0.34633151751957
CYP26A1,turquoise,0.0956505654056807
LINC00689,turquoise,-0.166738074250145
ERP27,turquoise,0.405194461915382
POM121L9P,turquoise,0.0265606340185081
DSPP,turquoise,0.361023831681805
ANKRD20A4,grey,0.201578153603097
LSAMP-AS3,turquoise,0.289470684388886
SNORD25,blue,-0.315606807914123
SNORD113-2,blue,-0.108793196156116
CALY,turquoise,-0.262482080362232
PLA2G7,yellow,0.26686003570506
SCG2,yellow,0.413978359273237
CYTIP,yellow,0.460287355036082
CLEC1A,yellow,0.153503715310932
FAM209A,grey,0.0328543788893533
GSG2,yellow,0.365600612135325
FAM159A,turquoise,0.264131156740888
PRB1,blue,0.124951266786114
PTPRR,turquoise,0.0975119250441086
TRIM61,yellow,0.432797431133164
SPTA1,turquoise,0.359996876252037
C2orf91,turquoise,0.208311763671322
RALYL,turquoise,0.0682597848727979
TAT,turquoise,0.204628053076295
CYBB,yellow,0.50681435724333
LAMP3,turquoise,0.0922159031808687
LGR5,turquoise,0.0936217330864885
PANX3,grey,-0.155043109488854
TMPRSS4,green,-0.287890051014168
LOC440461,grey,-0.0952854433835339
MIR4505,green,-0.697543484491829
BTNL9,turquoise,0.169132413602261
SNORD59B,blue,-0.120664449652011
NEUROD2,turquoise,-0.0593284872829221
GIMAP8,turquoise,0.0906138759811067
RSPO4,turquoise,-0.0971010991725236
RBPJL,turquoise,0.120293885294015
ACE2,turquoise,0.0629808472618981
ELAVL2,turquoise,-0.119562261644789
DPP6,turquoise,0.201889611372038
SLC36A3,turquoise,0.522782270771504
IL32,turquoise,0.386552456175129
UNC13A,turquoise,0.164493071456647
MROH5,turquoise,0.0180581106801273
FCHO1,turquoise,0.186145548729942
IL6,green,-0.349893153832774
FLJ43879,turquoise,0.156406406081009
TMC8,turquoise,0.0193940911825785
FLJ22184,turquoise,0.0958255159696254
DSG3,turquoise,0.408993088769743
FAM183B,turquoise,-0.012407838831375
HIST1H4L,blue,-0.100973138346831
SLC16A12,turquoise,-0.0142052655966092
MCIN,grey,-0.0619943546964183
MKRN3,yellow,0.276330058461836
CCDC108,turquoise,0.0335739501776629
PDE9A,turquoise,0.313375944460881
LRRC36,turquoise,0.183239864863393
SHANK1,turquoise,0.460545045587258
CR1,turquoise,-0.0174108559157994
IRGM,turquoise,-0.227752796182959
KLHL33,yellow,0.115843955722018
FCGR2B,yellow,0.381041063182586
MORN3,grey,0.0590245631400794
DMP1,turquoise,0.418694922553561
BOLL,turquoise,0.305502556125508
CDC14C,yellow,0.21551746423157
RAB33A,blue,-0.181361697980317
VNN2,yellow,0.381848386487306
LOC151475,turquoise,-0.069921107910769
TSPEAR,turquoise,0.335615670618648
GPR151,blue,0.16697676187643
AGRP,brown,0.129638767557142
MIR548Q,blue,0.383917559640846
MIRLET7I,blue,0.0507963378900073
ASPM,brown,0.800292917264345
ALDH3A1,turquoise,-0.153688997140968
FGL1,turquoise,-0.0570890758931774
KCNT1,turquoise,-0.026584606204339
MIMT1,turquoise,-0.0246159916217517
GRHL2,turquoise,0.228842872806731
QRFP,blue,-0.0782649805953986
GBP6,turquoise,0.0421057682024662
SEMA6B,yellow,0.0790066307819761
HBE1,turquoise,-0.00954286658004744
CYP1A1,green,-0.457808121794243
SEPT1,turquoise,0.119211338931176
COLEC11,turquoise,0.0940254825505463
TMEM229B,turquoise,0.371456349515236
SCGB2B2,turquoise,0.0190684853406988
HIST1H4D,blue,-0.262280870705521
CNN1,yellow,0.190608681871623
LOC100144595,turquoise,0.0151686630462753
RAB3B,turquoise,0.144682205748045
GRIA1,turquoise,0.267107898080152
PALM2-AKAP2,blue,0.188081345362091
OR2S2,grey,0.230281135159894
KRT17,yellow,0.229595151914713
CD302,grey,0.00325362017880043
MUC16,turquoise,0.0946463566502852
CCNA1,turquoise,0.299253579999461
OAS1,yellow,0.454207420909952
DKK4,yellow,0.0976335297652746
C3,grey,-0.249573390786811
HPSE,turquoise,0.228941198650464
C20orf118,yellow,0.0923767569243876
HTR6,grey,0.0818741574367427
IL19,grey,0.32659368490967
ACHE,turquoise,0.245282004793492
DAZL,turquoise,0.381866261980674
CHRNA2,turquoise,0.193996634888527
EN2,turquoise,0.120483548656855
LINC00473,yellow,0.195905207518268
LOC100271702,turquoise,0.274552702235256
OVCH2,turquoise,0.244113801990815
CDC25C,turquoise,0.393794386844201
TNFSF8,turquoise,0.383142519315388
SLC35F1,turquoise,0.253318783789759
AMHR2,turquoise,-0.191101487195781
SNORD114-28,blue,-0.119570054591359
FGF23,turquoise,-0.0131231906753713
C2orf57,green,-0.33503998565979
CXCR4,yellow,0.411648791332867
LINC00483,grey,-0.13737031633589
CFHR3,blue,-0.151131138617981
ST6GALNAC5,brown,0.808069842683687
POM121L10P,turquoise,-0.161524234024992
OR51B2,blue,-0.0594861512077275
CHST4,brown,0.575959169207949
LINC00266-1,turquoise,-0.0492816517706282
MIR505,grey,-0.072716490551703
CDH10,brown,0.682662337787938
PENK,brown,0.682295481269408
IGFL2,yellow,0.539767547712944
SENP3-EIF4A1,blue,0.162088051325701
CD8A,turquoise,0.122171231515031
GFI1,turquoise,0.234894420725701
S100A14,turquoise,-0.0764237266059387
BEND4,turquoise,0.139875947628234
LPAR3,turquoise,-0.192049053153334
C2orf66,turquoise,0.297365445879533
CHRM4,grey,-0.142241582815571
KRT222,yellow,0.271364920816682
GPR152,green,-0.285671003013
ELOVL3,grey,-0.125156098626397
CHL1,turquoise,0.135821223188847
L1TD1,turquoise,-0.0472548804872062
SCRT1,grey,0.195245380188506
KCNA7,turquoise,0.0539685084574938
LOC101055625,brown,0.341587058622024
NEIL3,yellow,0.486895811131011
NAPSB,turquoise,0.0678810327258051
SNORD114-12,blue,-0.289736358336223
CHRNA3,turquoise,0.324575432797777
C15orf55,turquoise,0.388960379241312
SNORD95,blue,-0.101133095033997
AIRE,turquoise,0.12482631246547
OR1L3,grey,-0.0234126257763766
MMP13,brown,0.685031482970877
DOCK2,yellow,0.540154492745856
GNGT2,turquoise,-0.285980992392081
MIR4530,blue,-0.395373363977819
MIR374B,blue,0.0659027104099849
NTM,turquoise,0.180073063112862
DCX,turquoise,-0.1432516680025
ANO9,turquoise,0.237807181208971
TREM2,yellow,0.426149286221382
C19orf59,turquoise,0.36311816345807
SLC35G5,yellow,0.659313554064719
LHFPL3-AS1,turquoise,0.373142569197268
ZNRF2P2,blue,-0.358819050026662
EMC6,blue,0.0944646034822683
KRTAP5-10,turquoise,0.0379397969713918
SNORD85,grey,0.155416832137506
MIR3909,blue,-0.394746900225771
NOS1,turquoise,0.0390611271783099
SPANXA2-OT1,grey,0.214346726285981
SNORA2B,blue,0.0143644077302743
MGAT5B,turquoise,0.116545434657713
LINC00671,turquoise,0.556340287217079
MIR3936,blue,-0.219022325568094
SRRM4,turquoise,0.205028416754959
IFNA5,grey,0.483531933759005
ADH1A,grey,0.33295963696919
ERN2,turquoise,0.434872175677784
P2RY13,yellow,0.335494878957287
LOC391322,blue,-0.206416577507998
GOLGA8S,turquoise,-0.0675470084909091
OR7E12P,grey,-0.0710548901626188
NAT8B,grey,-0.278828053384836
LOC100128787,grey,-0.271368408208439
MIRLET7C,blue,0.121050058008847
CCDC54,brown,0.561291588525733
GCM1,turquoise,0.088901650686473
MAGI2-AS2,blue,0.362133245911611
MIR4312,blue,-0.00151193121017404
MIR627,blue,0.231039242614813
LOC645434,grey,-0.0717854382162322
MIR548AC,grey,0.0195639465856945
GRB7,turquoise,0.117694043855853
CD200R1,turquoise,0.300966439685053
GLRA4,grey,-0.039520782079695
LEFTY2,turquoise,-0.148283547816171
LOC727915,blue,-0.0466357450170151
MADCAM1,grey,0.201876474228239
ELMOD1,turquoise,0.233081583974459
LOC644189,turquoise,-0.189486003591684
SOX17,turquoise,-0.172692769929408
HS6ST2,turquoise,0.0232216264760101
C11orf87,turquoise,0.511504134517182
MIR3609,turquoise,-0.221492184275404
LINC00309,green,-0.458838463821901
FCRLA,turquoise,-0.0187868857039158
OR9A4,grey,0.388911450384577
FLJ16341,turquoise,0.159322505001479
LINC00842,turquoise,0.338641076427763
RBM47,yellow,0.211283587812916
LOC729737,turquoise,-0.00136709676286894
EPGN,turquoise,0.109232135436672
IL8,yellow,0.183505062958003
C16orf54,yellow,0.619539857258086
TLR7,yellow,0.33827716632687
LOC728084,turquoise,0.413107019675296
C9orf171,turquoise,0.305270026125908
C16orf90,yellow,0.222629893653263
TDRD12,grey,0.0577683004628775
