cohort,disease,rho,P
GSE114007,OA,0.0458474669000985,0.78406765872679
GSE57218,OA,0.507316564032982,1.81767484751042e-05
GSE117999,OA,0.50996618875305,0.0216113836282738
GSE169077,OA,0.772727272727273,0.00806166279658789
GSE56815,OP,0.318745788777507,0.00395601551071294
GSE7158,OP,0.56034188034188,0.00338771963883154
GSE35958,OP,0.5,0.177662037037037
