cohort,disease,n_genes_used,mean_control,mean_case,delta,P,FDR
GSE114007,OA,201,0.118017718041444,-0.1062159462373,-0.224233664278744,0.00234163599229996,0.0163914519460998
GSE57218,OA,163,0.0460008572262428,-0.0460008572262432,-0.092001714452486,0.11089235907173,0.258748837834036
GSE117999,OA,202,0.0506897942300131,-0.0506897942300134,-0.101379588460026,0.554070497609155,0.646415580544014
GSE169077,OA,160,0.0137788741169304,-0.011482395097442,-0.0252612692143724,0.963083364071852,0.963083364071852
GSE56815,OP,171,-0.0261198742033136,0.0261198742033137,0.0522397484066273,0.181719457765407,0.318009051089462
GSE7158,OP,201,0.0608961687007991,-0.0710455301509322,-0.131941698851731,0.0678142215423081,0.237349775398078
GSE35958,OP,201,0.139815492949637,-0.11185239435971,-0.251667887309347,0.262609955406992,0.367653937569789
