cohort,disease,n,logFC,P,FDR,rank,n_genes
GSE114007,OA,38,-0.399362678916667,0.0462707801249674,0.168799778527332,6243,22775
GSE57218,OA,66,-0.0714821713636376,0.170422810440879,0.585699187776643,7317,25149
GSE117999,OA,20,0.0276872620000014,0.843336194307653,0.929116410536016,31598,34814
GSE169077,OA,11,0.603568252466353,0.269300410558747,0.99996332504088,3142,13101
GSE56815,OP,80,0.0198333125000004,0.65061374696162,0.854401436569088,9927,13039
GSE7158,OP,26,-0.350712393013916,0.0124394761766159,0.94624455191332,244,21355
GSE35958,OP,9,-0.382301413063899,0.0147272486209714,0.0919591796201298,3420,21355
