cohort,disease,tissue,SON_logFC,SON_P,SON_vs_splicing_rho,rho_P
GSE114007,OA,knee cartilage,-0.399362678916667,0.0418839460082988,0.358135463398621,0.0278649882396546
GSE57218,OA,knee/hip cartilage,-0.0714821713636367,0.289836514285912,0.590397662039453,3.3219611808988e-07
GSE117999,OA,knee cartilage,0.0276872620000006,0.845659095917577,0.576156490538107,0.00784220749666154
GSE169077,OA,knee cartilage,0.603568252466351,0.483079830574748,0.827272727272727,0.0031151751422363
GSE56815,OP,monocyte,0.0198333124999994,0.65020147009029,0.372254946493438,0.000673308259212938
GSE7158,OP,monocyte,-0.350712393013916,0.0222344229241396,0.740854700854701,2.50384448500531e-05
GSE35958,OP,BM-MSC,-0.382301413063901,0.00891743994132953,0.7,0.0432539682539683
