programme,disease,k,z_meta,P_meta,g_mean
splicing,OA,4,-2.5325256197132,0.0113244093923052,-0.407022193384851
osteoblast,OA,4,1.65147196604148,0.0986422404876617,0.318922700208252
chondro,OA,4,1.11858073698422,0.263319045145814,0.216875748305638
ribosome,OA,4,-1.38411846714075,0.166322183166824,-0.219418686056379
splicing,OP,3,-0.457263977366576,0.647481318315696,-0.381445487482379
osteoblast,OP,3,0.137889821499509,0.890327494830048,-0.0101614830904912
chondro,OP,3,0.773706924682894,0.439104124098523,0.0998399625088195
ribosome,OP,3,-0.126186432337904,0.899584350940673,-0.127155015102306
