pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_POSITIVE_REGULATION_OF_P38MAPK_CASCADE,4,-5.22670136586283,-0.232612481342539,1,1.72560871280446e-07,2.22128981555754e-05
REACTOME_PERK_REGULATES_GENE_EXPRESSION,4,-5.22184223048956,-0.276100625880865,1,1.77151870415935e-07,2.22476824578452e-05
GOBP_NEGATIVE_REGULATION_OF_COAGULATION,4,5.19338673222275,0.155465090101101,1,2.06502598061922e-07,2.51655902120139e-05
GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION,4,-5.18610289041859,-0.194904209670284,1,2.14740200810239e-07,2.51655902120139e-05
REACTOME_DISEASES_OF_GLYCOSYLATION,4,5.18260300762449,0.128286386760642,0.75,2.18810449672999e-07,2.51655902120139e-05
GOBP_HISTONE_LYSINE_DEMETHYLATION,3,-5.18164610306955,-0.279933031340081,1,2.19936212767649e-07,2.51655902120139e-05
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE,4,-5.1717228431336,-0.243767408777327,1,2.3194544220419e-07,2.59627626502038e-05
REACTOME_SYNDECAN_INTERACTIONS,4,5.16191378253015,0.195392857335661,0.75,2.44437873827442e-07,2.65179701950149e-05
GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,4,5.15295927762252,0.197208083422908,0.75,2.56407660478559e-07,2.65179701950149e-05
GOBP_HOMOTYPIC_CELL_CELL_ADHESION,4,5.15284173959121,0.103751139719582,0.75,2.56568481060573e-07,2.65179701950149e-05
GOBP_REGULATION_OF_HISTONE_MODIFICATION,4,-5.15215793750515,-0.178953170491082,1,2.57506022480238e-07,2.65179701950149e-05
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,4,-5.1304952664762,-0.127357236007607,0.75,2.88980827192634e-07,2.91757309649975e-05
REACTOME_LAGGING_STRAND_SYNTHESIS,4,-5.12311938421675,-0.253872905691303,1,3.00521936307585e-07,2.93294520427311e-05
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS,4,-5.12225970147172,-0.247934073756341,1,3.01895699798941e-07,2.93294520427311e-05
KEGG_ECM_RECEPTOR_INTERACTION,4,5.10845927616991,0.168957915073518,0.75,3.24796388120339e-07,3.07891607771315e-05
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,4,-5.10609744479628,-0.264655209634045,1,3.28880140365553e-07,3.07891607771315e-05
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE,4,-5.10003441844476,-0.248123732024115,1,3.39591723397217e-07,3.12242461387905e-05
GOBP_ZYMOGEN_ACTIVATION,4,5.07987450121878,0.179097374426241,1,3.77684287271344e-07,3.41174806168448e-05
GOBP_CALCIUM_MEDIATED_SIGNALING_USING_INTRACELLULAR_CALCIUM_SOURCE,4,5.04900604090618,0.152514560334814,0.75,4.44114695617061e-07,3.94266649609008e-05
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,4,-5.02945196806988,-0.172485113807313,1,4.9188369677585e-07,4.29272738084551e-05
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,4,-5.02259254427491,-0.285364496698791,1,5.09786196481838e-07,4.37481520947497e-05
GOBP_OLIGOSACCHARIDE_LIPID_INTERMEDIATE_BIOSYNTHETIC_PROCESS,3,4.99061723615273,0.174052105523365,0.666666666666667,6.01866577107764e-07,4.98164092322004e-05
GOBP_LUNG_CELL_DIFFERENTIATION,4,-4.98895918724727,-0.230587299727957,0.75,6.07054691402879e-07,4.98164092322004e-05
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MATURATION,4,4.98683452547687,0.105727729976024,0.75,6.1376589826309e-07,4.98164092322004e-05
GOBP_REGULATION_OF_PROTEIN_MATURATION,4,4.98513116106351,0.0928251243395723,1,6.19197939572893e-07,4.98164092322004e-05
GOBP_PROTEIN_DEMETHYLATION,3,-4.97416499175967,-0.254163428029004,1,6.5529480294269e-07,5.19094298515679e-05
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS,3,4.96762669071911,0.166960007874758,1,6.77772780555009e-07,5.28765461678445e-05
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,4,-4.94574956684324,-0.176581793678385,1,7.58514230572233e-07,5.8036335368136e-05
GOBP_ANTEROGRADE_AXONAL_TRANSPORT,4,4.94311488136897,0.149999079183482,1,7.68841467716274e-07,5.8036335368136e-05
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,4,4.94087559326217,0.166198663959859,0.75,7.77725216624856e-07,5.8036335368136e-05
REACTOME_SHC_MEDIATED_CASCADE_FGFR3,4,4.93711140429903,0.163940628846609,0.75,7.92881831303621e-07,5.83221221340335e-05
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION,4,4.93061911110476,0.16208950269503,0.75,8.19694187179351e-07,5.94451460533306e-05
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,4,-4.91228994470508,-0.119189238971403,1,9.0018801243916e-07,6.43759455006838e-05
GOBP_P38MAPK_CASCADE,4,-4.90363494827619,-0.177140635269328,1,9.40792571590292e-07,6.63580952208002e-05
GOBP_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,4,-4.88396011229746,-0.148105827884741,0.75,1.03976117337811e-06,7.23477065097825e-05
GOBP_CYTOPLASM_ORGANIZATION,2,-4.8607355486819,-0.343994907471822,1,1.16950396975653e-06,8.02903458703516e-05
GOBP_REGULATION_OF_RNA_SPLICING,4,-4.85760046865405,-0.178904078194607,1,1.18816852526947e-06,8.04984175870066e-05
GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING,4,-4.84276652646398,-0.195586650290454,1,1.28043710567437e-06,8.45531965142766e-05
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,4,-4.84270089970575,-0.141504616837785,0.75,1.28086023074647e-06,8.45531965142766e-05
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,4,-4.8321638726965,-0.174218577969462,1,1.35057012227304e-06,8.71602506703308e-05
GOBP_PLATELET_AGGREGATION,4,4.83162836794105,0.121985113991236,0.75,1.35420859460603e-06,8.71602506703308e-05
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION,4,-4.82878146489251,-0.232708221935786,1,1.37371062792733e-06,8.73239015209608e-05
GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION,3,-4.82452682712987,-0.213371985439588,1,1.4033602840067e-06,8.81207573457376e-05
GOBP_MRNA_CIS_SPLICING_VIA_SPLICEOSOME,4,-4.80975147045088,-0.277839437348852,1,1.51118070676417e-06,9.32152253003546e-05
GOBP_POSITIVE_REGULATION_OF_PROTEIN_ACETYLATION,4,-4.80849623094993,-0.154037284460503,1,1.52069895615261e-06,9.32152253003546e-05
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY,4,4.79456296324223,0.15312025185925,1,1.63029855369831e-06,9.84702776664354e-05
GOBP_PURINE_NUCLEOTIDE_TRANSPORT,4,4.79135912476482,0.152911026201602,0.75,1.65655313325701e-06,9.84702776664354e-05
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,4,4.79048319966427,0.151334224827529,1,1.6638015453447e-06,9.84702776664354e-05
GOBP_TRANSPOSITION,4,-4.77639512421899,-0.184381776819896,1,1.78465561333705e-06,0.000104422633557642
REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,4,-4.76906660357607,-0.160404400160434,1,1.85081466160885e-06,0.000107076906658696
GOBP_REGULATION_OF_P38MAPK_CASCADE,4,-4.75574870168994,-0.164874017474658,1,1.97712289740388e-06,0.000113113397763695
KEGG_N_GLYCAN_BIOSYNTHESIS,4,4.7469469750809,0.159815979430234,1,2.06510061865832e-06,0.000116848385554634
REACTOME_NUCLEOTIDE_SALVAGE,4,-4.744676554049,-0.264178153902266,1,2.08839761562247e-06,0.00011688216655261
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,4,4.72638352157579,0.167004994883778,1,2.28553794281363e-06,0.000126540159866101
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING,4,4.7148273757262,0.154404410088925,0.75,2.41915756684675e-06,0.00013251321608185
REACTOME_ZINC_TRANSPORTERS,3,4.70137405344594,0.181915624366434,1,2.5841663553256e-06,0.000140061816458647
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,4,-4.69182318623757,-0.218739378122722,1,2.70781102693541e-06,0.000145234572684275
GOBP_SNRNA_PROCESSING,4,-4.68810702025015,-0.15661579615289,1,2.75743814601438e-06,0.000146182477041544
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,4,-4.68627195788292,-0.199518364251968,1,2.78226505148015e-06,0.000146182477041544
GOBP_MRNA_SPLICE_SITE_SELECTION,4,-4.67841804210109,-0.232288443837352,1,2.89096679864821e-06,0.000148236129995901
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,4,-4.67765747542716,-0.229716381961882,1,2.90170716900672e-06,0.000148236129995901
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,3,4.67556814978097,0.28854095928607,1,2.93140905836385e-06,0.000148236129995901
GOBP_ENDODERMAL_CELL_DIFFERENTIATION,4,4.67521144236898,0.155878628507185,0.75,2.93650908129383e-06,0.000148236129995901
GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION,4,-4.66572567233734,-0.0857665928380657,1,3.07529765846751e-06,0.000153735025664555
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,4,4.6598474085024,0.110521340298968,0.75,3.16443883437715e-06,0.000156670149598153
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,4,4.64892218279828,0.137379093433691,1,3.33674061117599e-06,0.000163627403875668
GOBP_PYRIMIDINE_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,3,-4.6296133012002,-0.214049808203881,1,3.66349231930718e-06,0.000177955867472761
GOBP_HEMOSTASIS,4,4.61346208155402,0.088169296539831,0.75,3.9601653796685e-06,0.000190569079812272
GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,4,-4.60917082905552,-0.0359916080929919,0.75,4.04278057911352e-06,0.000192743307424588
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,4,4.59943128120364,0.14605457150444,1,4.23645909176281e-06,0.000200124108839328
GOBP_THYROID_HORMONE_METABOLIC_PROCESS,4,4.58641346660197,0.172766285442666,1,4.50925171835755e-06,0.000209509098557553
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION,4,-4.58607750342036,-0.259481010563562,0.75,4.5165099902677e-06,0.000209509098557553
GOBP_ZINC_ION_HOMEOSTASIS,4,4.57883773409227,0.138283401484693,1,4.6756673365718e-06,0.000213793521949934
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK,4,-4.5781120079921,-0.229229885927331,1,4.69191454269617e-06,0.000213793521949934
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,4,4.57595522799999,0.113620675551601,0.75,4.74051928317166e-06,0.00021411345428992
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION,4,-4.56168425447493,-0.203992048147208,1,5.07449175965912e-06,0.000227204852786824
GOBP_DEFINITIVE_HEMOPOIESIS,4,-4.55103901140057,-0.165104531322134,0.75,5.33816483211431e-06,0.00023517953515915
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,4,4.55081108337346,0.156624157628735,1,5.34395137184317e-06,0.00023517953515915
REACTOME_CIRCADIAN_CLOCK,4,-4.5487993133734,-0.209476806672319,1,5.39528642352866e-06,0.000235426523684314
GOBP_HISTONE_H3_K4_TRIMETHYLATION,4,-4.53724814121448,-0.194097314825732,1,5.69930323808615e-06,0.000245170779474485
GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING,4,-4.53671119839095,-0.236002190199277,1,5.71382667254577e-06,0.000245170779474485
GOBP_REGULATION_OF_HISTONE_DEACETYLATION,4,-4.53342692792576,-0.230609591341034,1,5.80343487330949e-06,0.000246957736881575
GOBP_DEMETHYLATION,4,-4.53029963888169,-0.175474231001678,1,5.89000902280332e-06,0.000248587348019789
GOBP_PEPTIDYL_LYSINE_METHYLATION,4,-4.51387534102691,-0.148017728446694,1,6.36536406500959e-06,0.00026646552496532
REACTOME_O_LINKED_GLYCOSYLATION,4,4.50866181104912,0.135739271222142,0.75,6.52378033746089e-06,0.000270894717399888
GOBP_POSITIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,2,-4.4946242227758,-0.289761663188396,1,6.96929094469975e-06,0.000287079032594072
REACTOME_SHC_MEDIATED_CASCADE_FGFR1,4,4.48773033559421,0.123590008023832,0.75,7.19859654066241e-06,0.000294171218951355
GOBP_HISTONE_H3_K4_METHYLATION,4,-4.48573490848367,-0.151496503387442,1,7.26630395465059e-06,0.000294599992618078
GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE,4,-4.47356553548631,-0.281492970566738,0.75,7.69259664938567e-06,0.000308249796043279
KEGG_MISMATCH_REPAIR,4,-4.47273050719702,-0.196910448661113,1,7.72270803837309e-06,0.000308249796043279
GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,4,-4.46605319599237,-0.211697416701902,1,7.96758064141832e-06,0.000315261453847515
GOBP_NUCLEOLUS_ORGANIZATION,2,-4.46462717974401,-0.242472912715605,1,8.02082937541745e-06,0.000315261453847515
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,4,4.45765381207423,0.113720096531157,0.75,8.28615783147737e-06,0.000323222929350583
GOBP_LACTATE_METABOLIC_PROCESS,2,-4.44756352185902,-0.192421554416979,0.5,8.68497803319027e-06,0.000336232720999223
GOBP_STEROL_HOMEOSTASIS,4,-4.44316469416723,-0.11639253361682,1,8.86452581682839e-06,0.000340622712170518
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING,4,4.44104963604282,0.127069945792536,0.75,8.95211407570697e-06,0.000341440262043075
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,4,4.43063394264061,0.229980329546188,0.75,9.39564657890168e-06,0.000355721942902682
GOBP_POSITIVE_REGULATION_OF_HISTONE_ACETYLATION,4,-4.42243613252386,-0.158956480859566,1,9.75942033010608e-06,0.000366797483793549
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION,4,-4.41533530532197,-0.273048099337356,0.75,1.00853540063551e-05,0.000373595296564672
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,4,-4.4153342287876,-0.189105277072466,1,1.0085404199357e-05,0.000373595296564672
GOBP_THYROID_HORMONE_GENERATION,4,4.40954221806359,0.173105014244908,1,1.03589363016835e-05,0.000380986878695488
