pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE,2,3.70159217953032,0.342858685961092,1,0.000214250791090659,0.0279633235582078
GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,3,-3.6974420738292,-0.184694826080288,1,0.000217782893755512,0.0279633235582078
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL,3,-3.68354872794447,-0.0745495037325752,1,0.000230009290482298,0.0285022370288603
GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,3,-3.68016942465071,-0.0797589945032522,1,0.000233079041123858,0.0285022370288603
HALLMARK_TGF_BETA_SIGNALING,3,-3.66936354654251,-0.0811364042118789,0.666666666666667,0.000243155084404568,0.029042895662834
GOBP_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE,3,-3.64900835483363,-0.0967720549568428,1,0.000263254543329762,0.0307289848759468
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,3,-3.63161880138595,-0.102575277046162,0.666666666666667,0.000281648946944583,0.0317795413326789
GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS,3,3.62890146428397,0.127325876391596,1,0.000284629848384585,0.0317795413326789
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,3,-3.6069150046161,-0.0558575709352198,0.666666666666667,0.000309859102686398,0.0330995491672552
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,3,-3.60414827636982,-0.125885307783983,1,0.000313178237106045,0.0330995491672552
GOBP_FILOPODIUM_ASSEMBLY,3,-3.59345176185151,-0.0330937900348227,0.333333333333333,0.000326326084577732,0.0330995491672552
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,3,-3.58445132995856,-0.0746892546754304,1,0.000337787543301729,0.0330995491672552
GOBP_MICROVILLUS_ORGANIZATION,3,-3.58384030339584,-0.0843530903659586,0.666666666666667,0.000338579141490303,0.0330995491672552
GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING,3,-3.58272912178663,-0.0729005810701899,0.666666666666667,0.000340023151296803,0.0330995491672552
REACTOME_SIGNALING_BY_MET,3,-3.58154777343414,-0.0920249386988923,0.666666666666667,0.0003415646623568,0.0330995491672552
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,3,-3.57487810916685,-0.0189866923877353,0.666666666666667,0.000350391099173537,0.0333260867658386
GOBP_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS,3,3.56339223032729,0.0735944888353345,0.666666666666667,0.000366093032953422,0.0341864330408869
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,3,-3.55141848732808,-0.0550469954132022,1,0.000383160655928089,0.0346758367122097
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,3,-3.54735241497459,0.0127107773728114,0.666666666666667,0.000389123698713972,0.0346758367122097
GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS,3,-3.5456887059821,-0.141326643743884,1,0.000391588498697073,0.0346758367122097
REACTOME_FLT3_SIGNALING,3,-3.53570953975753,-0.0635790508199476,0.666666666666667,0.000406681576232805,0.0354019758564692
GOBP_PODOSOME_ASSEMBLY,3,-3.52223457912748,-0.0538149766709278,0.666666666666667,0.000427925307968348,0.0364470961705113
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS,3,3.51665444366172,0.125214964528878,1,0.000437022328246801,0.0364470961705113
REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS,3,-3.51486558013159,-0.0561813250696669,0.666666666666667,0.000439976628226578,0.0364470961705113
