comparison,obs_nconv,null_nconv_mean,null_nconv_q95,P_nconv,obs_rho,null_rho_mean,null_rho_sd,P_rho,Z_rho
MAIN,5,0,0,0.00199600798403194,-0.00637407988072896,-0.00316957455464906,0.121379412801563,0.952095808383234,-0.0264007318219506
P3,3,0,0,0.00199600798403194,0.141294496424614,0.000573106891890033,0.127497526931403,0.281437125748503,1.10371858121166
P4,6,0,0,0.00199600798403194,-0.0511960375453686,-0.00445636371308435,0.117717633088759,0.620758483033932,-0.397049045295045
P1,8,0,0,0.00199600798403194,0.357956315064404,-0.00175857359419223,0.163848918107955,0.0379241516966068,2.19540594355094
P2,0,0,0,1,-0.0342073454932162,0.00566135435039921,0.140807500589715,0.780439121756487,-0.28314329617841
