pathway,family
KEGG_PYRUVATE_METABOLISM,104
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,105
KEGG_PROPANOATE_METABOLISM,106
KEGG_BUTANOATE_METABOLISM,107
KEGG_ONE_CARBON_POOL_BY_FOLATE,108
KEGG_RETINOL_METABOLISM,109
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,79
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,110
KEGG_NITROGEN_METABOLISM,111
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,109
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,109
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,112
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,113
KEGG_ABC_TRANSPORTERS,114
KEGG_RIBOSOME,115
KEGG_RNA_DEGRADATION,116
KEGG_RNA_POLYMERASE,117
KEGG_DNA_REPLICATION,118
KEGG_SPLICEOSOME,119
KEGG_PROTEASOME,120
KEGG_PROTEIN_EXPORT,121
KEGG_PPAR_SIGNALING_PATHWAY,122
KEGG_BASE_EXCISION_REPAIR,123
KEGG_NUCLEOTIDE_EXCISION_REPAIR,124
KEGG_MISMATCH_REPAIR,118
KEGG_HOMOLOGOUS_RECOMBINATION,125
KEGG_MAPK_SIGNALING_PATHWAY,126
KEGG_ERBB_SIGNALING_PATHWAY,127
KEGG_CALCIUM_SIGNALING_PATHWAY,128
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,129
KEGG_CHEMOKINE_SIGNALING_PATHWAY,130
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,103
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,131
KEGG_CELL_CYCLE,132
KEGG_OOCYTE_MEIOSIS,133
KEGG_P53_SIGNALING_PATHWAY,134
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,135
KEGG_REGULATION_OF_AUTOPHAGY,136
KEGG_ENDOCYTOSIS,137
KEGG_PEROXISOME,138
KEGG_MTOR_SIGNALING_PATHWAY,139
KEGG_APOPTOSIS,140
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,141
KEGG_WNT_SIGNALING_PATHWAY,142
KEGG_DORSO_VENTRAL_AXIS_FORMATION,143
KEGG_NOTCH_SIGNALING_PATHWAY,144
KEGG_HEDGEHOG_SIGNALING_PATHWAY,145
KEGG_TGF_BETA_SIGNALING_PATHWAY,146
KEGG_AXON_GUIDANCE,147
KEGG_VEGF_SIGNALING_PATHWAY,148
KEGG_FOCAL_ADHESION,149
KEGG_ECM_RECEPTOR_INTERACTION,150
KEGG_CELL_ADHESION_MOLECULES_CAMS,151
KEGG_ADHERENS_JUNCTION,152
KEGG_TIGHT_JUNCTION,153
KEGG_GAP_JUNCTION,154
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,155
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,156
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,157
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,158
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,159
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,160
KEGG_JAK_STAT_SIGNALING_PATHWAY,161
KEGG_HEMATOPOIETIC_CELL_LINEAGE,162
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,163
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,164
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,164
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,148
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,165
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,166
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,167
KEGG_LONG_TERM_POTENTIATION,168
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,169
KEGG_LONG_TERM_DEPRESSION,170
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,171
KEGG_INSULIN_SIGNALING_PATHWAY,172
KEGG_GNRH_SIGNALING_PATHWAY,141
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,133
KEGG_MELANOGENESIS,173
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,174
KEGG_TYPE_II_DIABETES_MELLITUS,175
KEGG_TYPE_I_DIABETES_MELLITUS,176
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,177
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,178
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,179
KEGG_ALZHEIMERS_DISEASE,86
KEGG_PARKINSONS_DISEASE,86
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,180
KEGG_HUNTINGTONS_DISEASE,86
KEGG_PRION_DISEASES,181
KEGG_VIBRIO_CHOLERAE_INFECTION,182
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,183
KEGG_LEISHMANIA_INFECTION,184
KEGG_COLORECTAL_CANCER,185
KEGG_RENAL_CELL_CARCINOMA,186
KEGG_PANCREATIC_CANCER,187
KEGG_ENDOMETRIAL_CANCER,185
KEGG_GLIOMA,187
KEGG_PROSTATE_CANCER,187
KEGG_THYROID_CANCER,188
KEGG_BASAL_CELL_CARCINOMA,145
KEGG_MELANOMA,187
KEGG_BLADDER_CANCER,189
KEGG_CHRONIC_MYELOID_LEUKEMIA,187
KEGG_ACUTE_MYELOID_LEUKEMIA,185
KEGG_SMALL_CELL_LUNG_CANCER,190
KEGG_NON_SMALL_CELL_LUNG_CANCER,187
KEGG_ASTHMA,176
KEGG_AUTOIMMUNE_THYROID_DISEASE,176
KEGG_ALLOGRAFT_REJECTION,176
KEGG_GRAFT_VERSUS_HOST_DISEASE,176
KEGG_VIRAL_MYOCARDITIS,191
REACTOME_APOPTOSIS,192
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,193
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,194
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,194
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,194
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,118
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,193
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,195
