pathway,z_OA,FDR_OA,z_MSC,FDR_MSC,same_dir,score
GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,4.67556814978097,0.000148236129995901,3.9944645876829,0.0416276724688811,TRUE,4.30826317896034
GOBP_HISTONE_H3_K4_TRIMETHYLATION,-4.53724814121448,0.000245170779474485,-3.86837954074462,0.0468921242411553,TRUE,4.17620159846643
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,3.79186759814165,0.00278938915929665,4.23639605167738,0.0291642621688389,TRUE,4.00182495790675
GOBP_MRNA_SPLICE_SITE_SELECTION,-4.67841804210109,0.000148236129995901,-3.05440316086069,0.0941636768624104,TRUE,3.69587618297655
GOBP_RENAL_WATER_HOMEOSTASIS,4.35043738085335,0.000451338922930763,3.18002258868362,0.0869362883032467,TRUE,3.67427466522152
GOBP_REGULATION_OF_RNA_SPLICING,-4.85760046865405,8.04984175870066e-05,-2.94464910393289,0.107829691979378,TRUE,3.66661659158987
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,-4.68627195788292,0.000146182477041544,-2.90496221388133,0.109698018144464,TRUE,3.58662179392569
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND,3.45387152888539,0.00704292141618158,3.48641092755301,0.0609188915389984,TRUE,3.47006494800493
GOBP_LACTATE_METABOLIC_PROCESS,-4.44756352185902,0.000336232720999223,-2.7761877889479,0.125037116367193,TRUE,3.41852065739951
REACTOME_COLLAGEN_FORMATION,6.15588354741842,6.40707842616187e-07,2.26735433957565,0.209680472531905,TRUE,3.31406270662562
GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION,-4.82452682712987,8.81207573457376e-05,-2.49901291145443,0.161823387869703,TRUE,3.29254848420784
GOBP_COLLAGEN_METABOLIC_PROCESS,4.35350497781829,0.000447956486237035,2.63561320637595,0.141739281902788,TRUE,3.28343430778147
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,4.55081108337346,0.000235179535159151,2.54546597245609,0.154834792820412,TRUE,3.26479213499339
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,-3.46947356927354,0.00683230864775889,-3.07269563217044,0.0923325419483572,TRUE,3.25905245002975
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA,-3.53782755606323,0.00561426703514994,-2.93021424385667,0.108056455819364,TRUE,3.20548104596773
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,-3.9526766735445,0.00170782893722682,-2.66748676633452,0.139553612046791,TRUE,3.18533305530348
GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,2.71211500183645,0.0378283980488316,3.84868245770601,0.0469172919812308,TRUE,3.1819514305132
GOBP_ENDOPLASMIC_RETICULUM_CALCIUM_ION_HOMEOSTASIS,3.68989384047587,0.0036212102530468,2.77054998153013,0.125037116367193,TRUE,3.16480898007538
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,-3.39847072620832,0.00811431084636337,-2.95256966813949,0.106659237658179,TRUE,3.15986703318491
GOBP_GANGLIOSIDE_METABOLIC_PROCESS,3.05704158383336,0.0179558934752346,3.25805089092778,0.0794988342671015,TRUE,3.15434717563286
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,-3.52294722361818,0.00581341627052746,-2.80120290226914,0.124593100539442,TRUE,3.1208904883344
GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE,3.2313472316038,0.0119354840550286,2.97142858668407,0.106659237658179,TRUE,3.09594214550875
GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,-3.27928446003471,0.0107448268783174,-2.93151115687529,0.108056455819364,TRUE,3.09566103092676
REACTOME_HDMS_DEMETHYLATE_HISTONES,-5.51181430286611,6.30581201406688e-06,-2.1394407415253,0.23697166328858,TRUE,3.08242242896285
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,-3.44921959457123,0.00711256922379333,-2.78572580138493,0.125037116367193,TRUE,3.082169741365
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,4.57595522799999,0.000214113454289918,2.32101750396809,0.198832782667319,TRUE,3.0798649188023
REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA,-3.70359161372351,0.00350805932995465,-2.63564353679259,0.141739281902788,TRUE,3.07966089531634
GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION,-2.72307226783258,0.0367985135882364,-3.51244413306551,0.0609188915389984,TRUE,3.06779377877488
GOBP_GLYCOLIPID_CATABOLIC_PROCESS,2.5115790933462,0.0571440815888161,3.9153430353773,0.0421505736040101,TRUE,3.06015648360919
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,-2.73118209634214,0.0361447154312512,-3.3938181122058,0.0664886793530813,TRUE,3.02665631043157
GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,3.88595989624004,0.00207623028118631,2.47158080499899,0.167283309453517,TRUE,3.02144000011543
REACTOME_ANCHORING_FIBRIL_FORMATION,6.03672951545866,1.00372994971301e-06,2.0025023917676,0.270185599865827,TRUE,3.00739310239177
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,2.78339654111288,0.032080595675312,3.25177563571532,0.079598639959501,TRUE,2.9994110496718
KEGG_RNA_DEGRADATION,-3.44324516323608,0.00718332997702742,-2.653271379823,0.141634263221091,TRUE,2.99707670135973
GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING,-4.53671119839095,0.000245170779474485,-2.2334932752127,0.219184429533436,TRUE,2.99332582721682
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,5.28349817636356,1.76374299843465e-05,2.07919475445955,0.254649572126265,TRUE,2.98407710241519
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS,-2.93542561915336,0.0233662502405654,-3.02686128429225,0.101009831043942,TRUE,2.98044233812372
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,-3.52657958767806,0.00578012490653887,-2.55397425935665,0.153648820599207,TRUE,2.96249115362894
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,3.32832400131607,0.00945103169312535,2.6372642872589,0.141739281902788,TRUE,2.94276762005454
REACTOME_ELASTIC_FIBRE_FORMATION,6.44232764779108,2.01935095276242e-07,1.90593959290631,0.294902107452341,TRUE,2.94161338643833
