set,n_input,n_mapped,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,Count,geneID
Core splicing programme,135,135,GO:1903311,regulation of mRNA metabolic process,66/134,205/9907,3.69323379005405e-78,4.73103248505924e-76,66,KHDRBS2/KHDRBS3/SRRM1/RNPS1/JMJD6/FMR1/ACIN1/YTHDC1/PCBP4/HNRNPL/LSM5/SON/NOVA1/SNW1/SNRPB/LSM2/FXR1/RBM15B/NOVA2/SRPK2/U2AF2/EIF4A3/PTBP1/NUP98/HNRNPU/WTAP/SNRPE/KHDRBS1/SNRPD1/SRPK1/QKI/SNRPF/SAP18/CIRBP/DAZAP1/LSM4/DYRK1A/ZBTB7A/SNRPG/PUF60/RBM39/PRDX6/THRAP3/LSM7/FXR2/NCBP2/RBM7/LARP7/LSM3/TIA1/HNRNPC/RBM8A/SNRPD3/RBM23/LSM6/SMU1/RBM25/RBM15/C1QBP/NCBP1/RBM5/PRPF8/DDX17/REST/SNRPD2/HNRNPA1
Core splicing programme,135,135,GO:0000245,spliceosomal complex assembly,36/134,47/9907,4.9367717311525e-60,5.74909507964214e-58,36,SF3A2/SF3A3/SF3B4/SNRPA1/DDX42/YTHDC1/SNRPB/SRPK2/U2AF2/PRPF19/SNRPE/SNRPD1/DDX23/SRPK1/PRPF4/SNRPF/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/SNRPB2/PRPF3/SF3B2/SNRPD3/CRNKL1/SF3B3/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/SNRPD2/PRPF6
Core splicing programme,135,135,GO:0022618,protein-RNA complex assembly,49/134,139/9907,6.22284993454516e-59,6.64289230512696e-57,49,SNRPA/SF3A2/XAB2/SF3A3/SF3B4/SNRPA1/DDX42/YTHDC1/LSM5/SNRPB/LSM2/SRPK2/U2AF2/PRPF19/SNRPE/PRPF31/PRPF18/SNRPD1/DDX23/SRPK1/PRPF4/SNRPF/SART1/LSM4/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/SNRPB2/LSM7/PRPF3/SF3B2/RBM42/LSM3/SNRPD3/LSM6/CRNKL1/SF3B3/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/SNRPD2/PRPF6
Core splicing programme,135,135,GO:0000387,spliceosomal snRNP assembly,36/134,51/9907,8.69350655866419e-58,8.56644761665294e-56,36,SNRPA/SF3A2/SF3A3/SF3B4/SNRPA1/LSM5/SNRPB/LSM2/PRPF19/SNRPE/PRPF31/SNRPD1/DDX23/PRPF4/SNRPF/SART1/LSM4/SNRPG/SF3B5/SF3B1/SNRPB2/LSM7/PRPF3/SF3B2/RBM42/LSM3/SNRPD3/LSM6/SF3B3/SNRPC/TXNL4A/SF3A1/USP39/PRPF8/SNRPD2/PRPF6
Core splicing programme,135,135,GO:0071826,protein-RNA complex organization,49/134,147/9907,1.64504521965512e-57,1.50521637598443e-55,49,SNRPA/SF3A2/XAB2/SF3A3/SF3B4/SNRPA1/DDX42/YTHDC1/LSM5/SNRPB/LSM2/SRPK2/U2AF2/PRPF19/SNRPE/PRPF31/PRPF18/SNRPD1/DDX23/SRPK1/PRPF4/SNRPF/SART1/LSM4/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/SNRPB2/LSM7/PRPF3/SF3B2/RBM42/LSM3/SNRPD3/LSM6/CRNKL1/SF3B3/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/SNRPD2/PRPF6
Core splicing programme,135,135,GO:0000380,"alternative mRNA splicing, via spliceosome",32/134,44/9907,5.49274021593798e-52,4.69080014441103e-50,32,KHDRBS2/KHDRBS3/RNPS1/FMR1/YTHDC1/HNRNPL/NOVA1/RBM15B/NOVA2/PTBP1/HNRNPU/PQBP1/WTAP/KHDRBS1/SAP18/DYRK1A/ZBTB7A/PUF60/THRAP3/NCBP2/RBM7/TIA1/RBM8A/RBM17/SMU1/RBM25/RBM15/NCBP1/RBM5/DDX17/REST/HNRNPA1
Core splicing programme,135,135,GO:0022613,ribonucleoprotein complex biogenesis,54/134,300/9907,1.13626830688242e-47,9.09724813197734e-46,54,SNRPA/SF3A2/XAB2/SF3A3/SF3B4/SNRPA1/DDX42/YTHDC1/LSM5/SNRPB/LSM2/WBP11/SRPK2/U2AF2/EIF4A3/PRPF19/SNRPE/PRPF31/PRPF18/SNRPD1/DDX23/SRPK1/PRPF4/SNRPF/SART1/RBM10/LSM4/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/SNRPB2/LSM7/PRPF3/SF3B2/RBM42/LSM3/SNRPD3/LSM6/CRNKL1/SF3B3/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/SNRPD2/PRPF6
Core splicing programme,135,135,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",28/134,35/9907,1.46690991758854e-47,1.10535976731231e-45,28,KHDRBS2/KHDRBS3/RNPS1/FMR1/YTHDC1/HNRNPL/NOVA1/RBM15B/NOVA2/PTBP1/HNRNPU/WTAP/KHDRBS1/SAP18/DYRK1A/ZBTB7A/PUF60/THRAP3/RBM7/TIA1/RBM8A/SMU1/RBM25/RBM15/RBM5/DDX17/REST/HNRNPA1
Core splicing programme,135,135,GO:0000393,spliceosomal conformational changes to generate catalytic conformation,22/134,24/9907,3.4267794423533e-40,2.43872470314143e-38,22,XAB2/SF3B4/SNRPB/SNRPE/PRPF31/PRPF18/SNRPD1/DDX23/PRPF4/SNRPF/SART1/SNRPG/SF3B5/SF3B1/PRPF3/SF3B2/SNRPD3/SF3B3/USP39/PRPF8/SNRPD2/PRPF6
Core splicing programme,135,135,GO:0000244,spliceosomal tri-snRNP complex assembly,22/134,27/9907,9.70088731812153e-38,6.54044034448089e-36,22,LSM5/SNRPB/LSM2/PRPF19/SNRPE/PRPF31/SNRPD1/DDX23/PRPF4/SNRPF/SART1/LSM4/SNRPG/LSM7/PRPF3/LSM3/SNRPD3/LSM6/USP39/PRPF8/SNRPD2/PRPF6
