gene,z_oa,t_msc,p_msc,t_mono
RBM25,-3.60258454697226,-6.80484802071753,1.17550639410165e-05,2.91026926550516
RBM22,-3.7828636011712,-4.7913338468222,0.000340413405819692,-0.0327187577669064
FMR1,-2.92707492654823,-4.51997975545364,0.000558608592083627,-0.495799125696383
TRA2A,-2.54274411731979,-4.73699874443446,0.000375630852213549,-1.26869808207818
SRPK2,-1.38636143194295,-5.61166278823811,8.07508288430777e-05,4.11606876149253
SF3B1,-2.11667154585458,-4.75111120987842,0.000366134833003182,3.06791721520693
HNRNPU,-2.99970669341161,-3.82804477427094,0.00204901216781547,-3.82291729131602
BCAS2,-1.69086678041163,-4.72353691763317,0.000384927456979428,-1.67515361810837
SYF2,-5.72193972477716,-0.658587776877408,0.521515149927456,0.306814470116026
SRRM1,-3.55479986919604,-2.70258540595164,0.017942110291664,-1.84154514320002
QKI,-1.41508103253882,-4.72798348052277,0.000381830573655756,-0.221723214562121
CIRBP,-3.22813808162706,-2.63861270132248,0.0202775473467291,2.3376981664615
RBM39,-3.35417075207776,-2.38643305085737,0.0326972044983075,0.626543412304266
HNRNPA3,-2.65379091625587,-2.95383979469156,0.011062954974825,0.88312479986335
RBM7,-4.54484431945383,-0.931616505560952,0.368308989032566,0.139965083620385
DDX42,-3.50605299846977,-1.94806741700891,0.0730550524495252,0.705315574769029
DAZAP1,-0.882894769857302,-4.028528317478,0.00139940364838775,-2.09572409411884
KHDRBS1,-2.5121660133549,-2.38331829610299,0.0328889043717859,-0.160650500921711
SRPK1,-2.13565071578428,-2.52298747683121,0.0252692835327118,-0.0521012991507296
SAP18,-1.8485746784813,-2.72578939099526,0.0171616271676231,2.17649238690821
MBNL2,-0.313651898511226,-4.18352642177884,0.00104466924280783,0.703087779632525
SON,-1.6244453867867,-2.80543466504205,0.0147272486209714,0.454517819709222
DHX15,-1.74344112438151,-2.67179419613826,0.0190314776326361,1.54230146697402
DYRK1A,-0.210796855529871,-3.96525424017636,0.00157779370554042,-0.715801330862453
SART1,-3.60147689502495,-0.540314059046662,0.598004884285436,-1.40780241361111
CDC5L,-2.83315118233759,-1.22556653358197,0.241840074640851,1.81679542441113
SNW1,-2.52170367093209,-1.43819810663439,0.173728526009513,-0.168870068579351
RBM3,-0.892521284392472,-3.04565475496667,0.0107492506798223,-0.689960377487502
SNRPA1,-2.1980837041619,-1.71120352491524,0.110492482426369,2.95035544122286
THOC1,-2.28040523874008,-1.57583630396246,0.138786177175619,1.63144836482883
DDX17,-2.04875518455672,-1.78945581766724,0.0965650596252569,3.14496332771297
RBM15,-2.5988413458181,-1.16871287954556,0.263251690382609,-0.445356490240006
THOC2,-2.10741876125061,-1.59713005939155,0.133957302656724,2.00400495597028
SF3A3,-1.68624724949854,-1.82118888350847,0.0913784449727567,-2.62502597040011
NCBP1,-0.928428853285575,-2.39248734854625,0.0323276365588891,1.48889231289983
SMNDC1,-2.21099363969819,-0.998760824445359,0.335919054331166,-0.673802817652023
RBM17,-1.60912646324606,-1.58388462623527,0.136943689439443,-2.37823037220301
PQBP1,-2.47830358614124,-0.136810138015304,0.893251428609115,0.937293632076515
SNRPE,-0.914346376485012,-1.64972057578442,0.122649072931061,-2.42767492913856
U2AF1,-0.80960408449641,-1.72543856153802,0.107833867613556,1.58222200814938
RAVER2,-1.56936065111495,-0.959797269465743,0.354457953240607,0.640789977754314
WTAP,-1.39709686204365,-1.12572029534505,0.280392298154953,0.360473259621321
CDC40,-2.08448938696273,-0.267203167922299,0.793453771077324,1.56406630103824
PRPF38B,-1.22215587609855,-0.812677279186916,0.430857806574485,-1.96792349944335
PRPF18,-0.403208114909745,-1.48442407878156,0.161247083568108,-0.930520976674389
CTNNBL1,-0.781214876339225,-0.924973789574519,0.371628099770631,0.380728200330467
HSPA6,-0.745956084813289,-0.646735661493348,0.528920486576871,1.7897815648663
DHX8,-0.57941193916344,-0.476882446349792,0.641266274812971,0.174413810217979
SNRPD1,-0.768301205944083,-0.131227654132008,0.897579876144238,-2.59010677852898
