gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
DDIT3,-2.71335450343334,4.71316367073684,-16.6672699966876,4.37218316348564e-20,9.42475840452858e-16,34.6403118257012,GSE114007,OA
MAFF,-3.12758880777222,4.80867115371053,-16.3777259160953,8.27640694140819e-20,9.42475840452858e-16,34.0640350530294,GSE114007,OA
KLF10,-2.35072424803333,6.74242338389474,-13.0012501417857,2.73641896601911e-16,2.07739806503617e-12,26.595646596947,GSE114007,OA
CFI,3.60353486335,3.1964445505,12.4504146519304,1.16419634044344e-15,6.46784620855552e-12,25.2359984965463,GSE114007,OA
ETS2,-2.14338086531111,6.97047575034211,-12.3759722515169,1.41994428288815e-15,6.46784620855552e-12,25.0490198569174,GSE114007,OA
ADM,-4.57531598738333,6.42557366234211,-11.8414848712065,6.03175885356393e-15,2.28955513149864e-11,23.6836738916321,GSE114007,OA
PFKFB3,-2.36141125181667,9.00549397239474,-11.760523876239,7.53312849061423e-15,2.45095716248199e-11,23.473338245735,GSE114007,OA
HILPDA,-3.76968875962222,6.96450637413158,-11.4622774434625,1.72082971814315e-14,4.89898710383878e-11,22.6904553119681,GSE114007,OA
DHRS13,-2.5509495981,2.99857615136842,-11.1895941936998,3.69926693414857e-14,9.11441415210971e-11,21.9635718063897,GSE114007,OA
SESN2,-2.87747029398334,3.69176336286842,-11.1617665926393,4.00193815679899e-14,9.11441415210971e-11,21.8887952148607,GSE114007,OA
CISH,-3.15121575843333,3.88281829013158,-11.0400849349898,5.65107373443007e-14,1.17002913001495e-10,21.5605196806494,GSE114007,OA
ZNF395,-2.05454999978889,7.82994262573684,-10.8874867540974,8.73468712270387e-14,1.65777082682984e-10,21.1458461119224,GSE114007,OA
GADD45B,-2.92572291184445,7.04015519931579,-10.7569502433331,1.27076259297579e-13,2.22627831192489e-10,20.7884844540353,GSE114007,OA
SLC2A1,-2.28956844106111,7.004307322,-10.6504596743762,1.72822589921122e-13,2.67015753086386e-10,20.4951520767666,GSE114007,OA
SPOCK1,3.35151273892778,4.83409579384211,10.6444386675092,1.75861088750639e-13,2.67015753086386e-10,20.4785187342026,GSE114007,OA
DDIT4,-4.06379706463889,8.68171520505263,-10.4780781583931,2.85177395272637e-13,4.05932198583395e-10,20.0169003860356,GSE114007,OA
LOC143666,-3.19278202927222,3.29546836086842,-10.4225279016743,3.35401844409461e-13,4.49339823907381e-10,19.8618842238593,GSE114007,OA
PIM2,-2.23899567817778,2.96580488278947,-10.2185406926351,6.10592469228636e-13,7.72569082593454e-10,19.2889035583574,GSE114007,OA
JUN,-3.06234148571667,6.81956408997368,-10.192798432505,6.58796209046496e-13,7.89688613738629e-10,19.2161792601736,GSE114007,OA
JMJD6,-1.41287882051111,5.54626997226316,-10.1177912511612,8.22461047871991e-13,9.3657751826423e-10,19.0037464804587,GSE114007,OA
ING1,-1.76724039008334,5.62400944023684,-10.0396134298892,1.03725649428896e-12,1.12492936463957e-09,18.7814954789283,GSE114007,OA
IRS2,-2.04421959993889,5.06720208178947,-9.99885793453155,1.17099301704693e-12,1.19181248389718e-09,18.6652937281785,GSE114007,OA
