gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
RPL13A,0.122627646874997,13.6333542453125,6.67283770824676,2.41223844321248e-09,3.14531770610475e-05,10.8231747771033,GSE56815,OP
TRIM44,0.277559857812499,9.51311788828125,6.17881610923671,2.14497036134691e-08,0.000123982997701193,8.83960497938965,GSE56815,OP
NCOA1,0.284193225,9.491466165625,6.11344751281399,2.85258833578939e-08,0.000123982997701193,8.58071121181562,GSE56815,OP
VPS35,0.252805271875001,10.5558835484375,6.01282388113001,4.41513986098058e-08,0.000143922521618315,8.18404133012443,GSE56815,OP
FOXO3,0.270545021875001,9.0431437671875,5.90669989166453,6.97909688458553e-08,0.000182000888556222,7.76824592667807,GSE56815,OP
DPP8,0.327642793749998,8.94631559375,5.71445253975072,1.5872455884017e-07,0.000344934920452829,7.02219155892961,GSE56815,OP
POGLUT1,0.227463918750001,7.829569046875,5.54858842542758,3.19717591895164e-07,0.000595542525817293,6.3865534231564,GSE56815,OP
EIF5,0.244852603125,10.36221494375,5.26146357496667,1.05258153870888e-06,0.00171557633540313,5.30568754506512,GSE56815,OP
RPL4,0.156640956250001,13.11845454375,5.20464783715439,1.32805223045816e-06,0.001924052559216,5.09496511537464,GSE56815,OP
SFSWAP,0.232681818750001,7.9927374609375,5.16689622670426,1.54889626017975e-06,0.00201960583364838,4.95555819340012,GSE56815,OP
METTL4,0.131126959375,6.2024171875,5.05304675872479,2.45542926685081e-06,0.00291057656458798,4.53817264519201,GSE56815,OP
PIAS1,0.204373496875,9.8325293765625,4.94947208487109,3.71819395693325e-06,0.00404012758370438,4.16255012042886,GSE56815,OP
ADAM17,-0.29564765,7.995403225,-4.92328531003616,4.12674187169466e-06,0.00406204225167533,4.06821961925885,GSE56815,OP
CDC42EP3,-0.281057078124999,10.1862037546875,-4.90936424496137,4.36142277194989e-06,0.00406204225167533,4.01817972334975,GSE56815,OP
NIF3L1,0.213608178125001,8.5237355875,4.87451911689802,5.00734013699815e-06,0.00435271386975459,3.89325563097152,GSE56815,OP
FOLR1,-0.5487008203125,9.08788461796875,-4.86430383746303,5.56753951391919e-06,0.00437914945651073,3.80193038339263,GSE56815,OP
SLC35D2,-0.176890265625,6.994046096875,-4.84129760283188,5.70945170340382e-06,0.00437914945651073,3.77459388112846,GSE56815,OP
LPIN1,0.194297978125,7.1465205640625,4.81159972132677,6.4176036580633e-06,0.00464884078319374,3.66888734064766,GSE56815,OP
GMEB1,-0.1456583328125,7.64525172734375,-4.78953266057178,6.99845911679504e-06,0.00476528298609576,3.59057015849202,GSE56815,OP
DNAJC4,-0.299548729687499,7.37347063984375,-4.78185328733704,7.30927676370237e-06,0.00476528298609576,3.55228082836281,GSE56815,OP
MATN4,-0.171982728125,6.0488239703125,-4.72705317483981,8.93448090799741e-06,0.00554746174092277,3.36989775690751,GSE56815,OP
SKAP2,0.2140927125,9.835265075,4.67497903313724,1.09377239541634e-05,0.00592308354336177,3.18720579766157,GSE56815,OP
HIRA,-0.3771718953125,6.39184007578125,-4.68359416548435,1.12798482997761e-05,0.00592308354336177,3.1644623463125,GSE56815,OP
RCAN2,0.0868021234375004,5.45181599296875,4.65693780070887,1.17286567655385e-05,0.00592308354336177,3.12417665449624,GSE56815,OP
IL17RA,-0.257642818749999,10.19557364375,-4.65456793625594,1.18365930143237e-05,0.00592308354336177,3.11590747998314,GSE56815,OP
GLT8D2,0.1220543859375,6.55223358671875,4.64186533272611,1.2431783027906e-05,0.00592308354336177,3.0716248739736,GSE56815,OP
ZEB2,-0.510137593749999,7.897604796875,-4.65530562082779,1.25412689914966e-05,0.00592308354336177,3.0685883033939,GSE56815,OP
HLA-DMB,0.208970609375,11.8196708046875,4.63594018263736,1.27192529499294e-05,0.00592308354336177,3.05099265779945,GSE56815,OP
TNPO3,0.2028896640625,8.48556664296875,4.57807088762881,1.5888316696276e-05,0.00714371591043939,2.8502760214438,GSE56815,OP
DHX35,0.107130298437501,5.88055225859375,4.56526108126966,1.66869983829842e-05,0.00725272573052438,2.80604200428783,GSE56815,OP
RPL3L,0.0903077203125001,5.87668036484375,4.55245715844589,1.75241597421405e-05,0.00737088770573453,2.76190004907994,GSE56815,OP
CBX5,-0.226565859375,7.7239008734375,-4.48711650170388,2.24713559696313e-05,0.00909835973228094,2.53776489093936,GSE56815,OP
CPM,-0.293594390624999,5.8905394640625,-4.48643682909261,2.37065073281044e-05,0.00909835973228094,2.49413024317042,GSE56815,OP
TBC1D2,-0.2516171765625,6.55997408828125,-4.47791836384163,2.37245364596635e-05,0.00909835973228094,2.49062273500208,GSE56815,OP
NELFB,-0.2095153828125,7.62875378828125,-4.45338333920452,2.55301514284897e-05,0.00940745079230576,2.42280009770704,GSE56815,OP
S100A4,-0.120566434374999,12.9013413203125,-4.44445277800316,2.64051461611667e-05,0.00940745079230576,2.39245057330078,GSE56815,OP
FCGR2A,0.239533765624999,10.0153483671875,4.44155778949989,2.66949673529652e-05,0.00940745079230576,2.38262007909332,GSE56815,OP
TENT4A,0.17209854375,7.9725273734375,4.40991238769909,3.00706028837673e-05,0.00956823544850858,2.27541238391495,GSE56815,OP
NVL,0.1494535765625,6.86554715703125,4.40885737096443,3.01899712478137e-05,0.00956823544850858,2.27184615316489,GSE56815,OP
