gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
DDIT4,-4.24686335729325,12.2923173267927,-9.87451098408198,5.48095186232621e-23,7.18059503483357e-19,39.9883641773516,GSE169077,OA
COL1A1,3.85286115399313,12.5374090301471,9.16770315717369,4.90666421822897e-20,3.21411039615089e-16,33.6353124773391,GSE169077,OA
HILPDA,-3.57725288322722,11.9810419041181,-8.07089200982882,7.04361780519808e-16,3.07594789553e-12,24.7105365488922,GSE169077,OA
TSC22D3,-3.66214264275938,10.5318217813785,-7.49476456614383,6.6878950990143e-14,2.19045284230466e-10,20.4775235475173,GSE169077,OA
TXNIP,-2.97894591841115,12.4193512360457,-7.01034930964654,2.38993370900592e-12,6.2621043043373e-09,17.160851351377,GSE169077,OA
ADM,-3.13359375831634,11.4358813742765,-6.72331768682744,1.78437624122039e-11,3.89618552270472e-08,15.3001363718113,GSE169077,OA
POSTN,3.11216283626917,10.8557228079761,6.45325772065298,1.09893346546706e-10,2.05673247586914e-07,13.620457128512,GSE169077,OA
PDK4,-3.27448875601922,9.22719611165794,-6.32163265649107,2.59735278505132e-10,4.25348985461966e-07,12.8267516596577,GSE169077,OA
COL1A2,2.35219922444279,13.816804251726,6.29171041193492,3.15083888241567e-10,4.3769326740578e-07,12.648600780016,GSE169077,OA
TNC,2.67298586062503,12.406282420614,6.28261034068682,3.34091494852133e-10,4.3769326740578e-07,12.5945884488584,GSE169077,OA
MXRA5,2.93429809841173,10.6775735693202,6.04014771338415,1.54431886568691e-09,1.83928376903311e-06,11.1842728055217,GSE169077,OA
SAA2,-3.22371041099869,8.6735789122538,-5.99175189887003,2.081917597305e-09,2.27293353685774e-06,10.9094165674682,GSE169077,OA
GADD45B,-2.54495914621263,12.3199510272358,-5.9329451551357,2.98374836661587e-09,3.00692979623342e-06,10.578408878922,GSE169077,OA
TGFBI,2.50852021595865,12.2963104457434,5.83485362975136,5.39779561623287e-09,5.05118002630478e-06,10.0335421157904,GSE169077,OA
GLRX,-2.68791400164764,11.4893546395552,-5.79198121277131,6.97368756869982e-09,6.09081872250243e-06,9.7982523344145,GSE169077,OA
GREM1,2.73918891687651,11.1414996731235,5.75846322634641,8.55525690230716e-09,7.00515129232038e-06,9.60854136103577,GSE169077,OA
C10orf10,-2.82548403471422,10.372943425897,-5.7464618264435,9.13537275875517e-09,7.04014814779126e-06,9.55033482309265,GSE169077,OA
SERPINF1,2.98236695244383,8.93336297783343,5.65621459242241,1.55104879191501e-08,1.12890501238214e-05,9.06459434591866,GSE169077,OA
GLUL,-2.66383284241441,10.7986036424797,-5.51036158455761,3.5884349911009e-08,2.47432035886383e-05,8.29581976087057,GSE169077,OA
FKBP5,-3.0885162937813,8.17590353069035,-5.42752139274559,5.72542913853429e-08,3.75044235719688e-05,7.86812102841631,GSE169077,OA
