gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
PKM,3.41525423202206,13.7540915138265,22.5829262398948,6.51332025387283e-12,1.39091954021454e-07,16.6358035335885,GSE35958,OP
TRAPPC1,3.41278538765086,11.9633476490632,19.8659682717953,3.36494207166073e-11,3.59291689701574e-07,15.3845918355126,GSE35958,OP
CTSZ,-3.75503176313211,12.1729539257293,-18.3192632548089,9.4444983778837e-11,6.20594698054467e-07,14.5542255625035,GSE35958,OP
ZYX,3.11545344951011,12.7559264197863,17.7713302787595,1.38821709120001e-10,6.20594698054467e-07,14.2362597774111,GSE35958,OP
PDLIM7,3.20076796837223,11.3476095771818,17.7074210884252,1.45304307669039e-10,6.20594698054467e-07,14.198304995382,GSE35958,OP
TGFB1,3.17293952462914,11.9552817583754,17.0431329760061,2.35672581308247e-10,8.38797995639601e-07,13.7925948756257,GSE35958,OP
NUCB1,2.95932740485695,12.0784097999075,16.4187748571904,3.7730380972262e-10,1.15104612237522e-06,13.3917880976778,GSE35958,OP
CLPTM1,2.87188895257714,11.0717112027637,15.9756160497816,5.322470907319e-10,1.35143617612538e-06,13.0951617223665,GSE35958,OP
COL6A2,2.48701686261137,14.9321964313415,15.6825525683309,6.71445788661042e-10,1.35143617612538e-06,12.8932019265152,GSE35958,OP
PPP3R1,-3.52305534527728,9.89952097498043,-15.6528335156378,6.87603433095458e-10,1.35143617612538e-06,12.8724568407555,GSE35958,OP
TRIM28,2.52792882639019,12.2339035212936,15.5907580688725,7.22713237844709e-10,1.35143617612538e-06,12.8289663595953,GSE35958,OP
ARID1A,2.58534277424556,11.5641838353923,15.4516146618019,8.08592631798348e-10,1.35143617612538e-06,12.7306922904997,GSE35958,OP
UBA1,2.52830429516208,13.0343936976157,15.4302867594075,8.22695869334114e-10,1.35143617612538e-06,12.7155316109017,GSE35958,OP
PARVB,2.68483090197809,10.9790193674761,15.009539489579,1.16232847957714e-09,1.61477869488779e-06,12.4110554056091,GSE35958,OP
PCDHGA1,2.17148926023311,12.4169930931813,14.9169767803319,1.25560983708862e-09,1.61477869488779e-06,12.3426679918661,GSE35958,OP
CDC42EP1,2.89288782966443,10.5660510103699,14.8842700029856,1.29046300888555e-09,1.61477869488779e-06,12.3183800755702,GSE35958,OP
SMTN,2.56405152392084,11.1342060184176,14.8774635807175,1.29784562994996e-09,1.61477869488779e-06,12.3133175157242,GSE35958,OP
DRAP1,2.16786990801766,12.4101654501967,14.8208044684659,1.3610871696549e-09,1.61477869488779e-06,12.2710657460576,GSE35958,OP
PLD3,3.0152236285941,12.0181326798069,14.7366988081442,1.461130311033e-09,1.64223356800577e-06,12.2079851508736,GSE35958,OP
ATN1,3.06620268178896,9.89951121911432,14.345629551196,2.04177488121998e-09,2.11381514053806e-06,11.9088947622057,GSE35958,OP
GRINA,2.6337522705638,11.6371968144822,14.2801650007261,2.16111409027069e-09,2.11381514053806e-06,11.8578791535269,GSE35958,OP
RUSF1,2.77136694816085,10.782453252267,14.2713953059567,2.17766017756204e-09,2.11381514053806e-06,11.8510240494999,GSE35958,OP
MLF2,2.47820964453192,12.3332191619022,14.0950094080109,2.54096694551101e-09,2.35923257049511e-06,11.7120832293346,GSE35958,OP
DDX39B,2.17478911193669,12.8375754813559,13.8524292244815,3.15047611106371e-09,2.8032673896569e-06,11.5176394799469,GSE35958,OP
TMEM214,2.20571142317778,11.3767469673861,13.6802475581019,3.67733046470475e-09,3.1411756829508e-06,11.3772113130113,GSE35958,OP
PCDHGC3,1.76949440844184,12.9926931748474,13.5365806027731,4.1892638425974e-09,3.44083574456413e-06,11.2584739093223,GSE35958,OP
FKBP1A,2.30893940599293,13.4506225872912,13.4271806806126,4.6301526238827e-09,3.47046421536441e-06,11.16708725027,GSE35958,OP
PNPLA2,2.22257884588821,11.700592249027,13.4199825580949,4.66085398802127e-09,3.47046421536441e-06,11.1610446402025,GSE35958,OP
PPP1R9B,2.82875709479019,10.5029434616237,13.4079008698694,4.71287577829867e-09,3.47046421536441e-06,11.1508941406404,GSE35958,OP
UBAP2L,2.06374670150735,11.2318700257576,13.1431508412747,6.02394762388201e-09,4.28804671693335e-06,10.9258294522026,GSE35958,OP
ACO2,2.08468952812579,11.4935851189948,13.0566538199988,6.53298706728144e-09,4.50038512328371e-06,10.8511915118909,GSE35958,OP
AP2M1,1.81704107267796,13.7554469402356,12.9753705577157,7.05348356478893e-09,4.70709817268961e-06,10.7805476650305,GSE35958,OP
VAMP2,3.26048011025999,9.96166214798162,12.8752604176281,7.75631430870232e-09,4.92857521996999e-06,10.6928622142406,GSE35958,OP
ARHGDIA,1.74811499519184,12.4200215556315,12.8630622673779,7.84694720107607e-09,4.92857521996999e-06,10.6821263767281,GSE35958,OP
TLN1,2.74460658068685,11.5544922744223,12.8030350701857,8.30977248709374e-09,5.03952290829783e-06,10.6291308609465,GSE35958,OP
MAZ,2.73198682289538,11.2736160361033,12.7799381583289,8.49556659792657e-09,5.03952290829783e-06,10.6086665053709,GSE35958,OP
CENPB,2.18222921823025,10.6888617545852,12.6343714840593,9.77376524602034e-09,5.48054040790854e-06,10.4787489967104,GSE35958,OP
CDK16,2.32561296396794,11.1139801591724,12.6152867662489,9.95604635134105e-09,5.48054040790854e-06,10.4615945141542,GSE35958,OP
BTBD2,3.17740166845833,9.64100894769549,12.6098179927853,1.00089475958058e-08,5.48054040790854e-06,10.4566736301467,GSE35958,OP
MAP2K2,2.025204550784,12.8230822402007,12.5306761968331,1.08091363735179e-08,5.77072768141188e-06,10.3851991025525,GSE35958,OP
B4GALT1,-3.54499348669575,11.3536307231426,-12.4764093544901,1.13972326260131e-08,5.93629031045147e-06,10.3359053535507,GSE35958,OP
BSG,2.31259008662444,12.8825647791599,12.4295185393455,1.19329963366919e-08,6.06736039928703e-06,10.293124134872,GSE35958,OP
PCGF1,2.71038538477278,9.79284597306822,12.3485112682141,1.2923097521692e-08,6.30875237310797e-06,10.2188039779804,GSE35958,OP
