gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
PPP1R14C,0.788134017727274,8.62394120540909,9.02315750030172,1.55841322045093e-13,3.91925340811204e-09,20.1954398066776,GSE57218,OA
LEPREL1,1.24286980721212,10.5494746912727,8.7593809775375,9.83829976994975e-13,1.23711700457233e-08,18.4695531698774,GSE57218,OA
CD55,1.25988176230303,9.5234000589697,8.5585076567591,2.61241070223269e-12,1.64347592936439e-08,17.5545731114646,GSE57218,OA
COL15A1,0.94795878630303,10.9327028683636,8.4032769755377,2.61398215334906e-12,1.64347592936439e-08,17.5480632693897,GSE57218,OA
CNKSR3,-0.466127055757578,7.93759367854545,-8.19440819579003,4.98344886373543e-12,2.50657510948165e-08,16.937768400082,GSE57218,OA
CRLF1,1.57274462115152,10.0602025884545,8.31582787947389,8.23371507748329e-12,3.09292066935025e-08,16.4786705262853,GSE57218,OA
RARRES2,-1.17609020978788,8.71831988489394,-8.28222080633119,8.60886901485218e-12,3.09292066935025e-08,16.4357117010765,GSE57218,OA
CLIC3,0.784179443848485,8.15216765222727,8.08990463964521,1.32294282001499e-11,4.15883612256964e-08,16.0266446836083,GSE57218,OA
TNFAIP6,1.53405354460606,10.3832690257576,8.01166441432904,2.84101548994431e-11,7.93874428406771e-08,15.3150126474731,GSE57218,OA
RCAN2,-0.974081497000001,8.31145409871212,-7.77790552985193,6.52942668609418e-11,1.64208551728583e-07,14.5297785206529,GSE57218,OA
TSPAN2,0.63479026460606,8.517549671,7.55814871848861,8.81242647170459e-11,2.01476103033544e-07,14.2327491732715,GSE57218,OA
SYNGR1,-0.182920168727273,7.29585103836364,-7.50275503994865,1.03118293929443e-10,2.1611016450263e-07,14.0824348667712,GSE57218,OA
NGF,1.17620244415152,8.86037265271212,7.66244267847339,1.13994450247021e-10,2.20526648404796e-07,14.0070842118774,GSE57218,OA
IGFBP6,0.799190025878788,11.6468475794849,7.45305975715829,1.40922674527565e-10,2.53147452978124e-07,13.7903967870923,GSE57218,OA
FRZB,-1.34733039145455,10.9510750542727,-7.485305818011,2.35472406531641e-10,3.9479303679095e-07,13.3239716601369,GSE57218,OA
LOC338758,-0.540520166575759,8.8567311125303,-7.2793123447173,2.72920525665836e-10,4.28979893748131e-07,13.1642417110326,GSE57218,OA
CPAMD8,-0.506947308606062,7.9326778630303,-7.25221424433868,3.22350462214181e-10,4.76870104366143e-07,13.0086773546622,GSE57218,OA
TUBB2B,-0.619689479696972,12.0361978610606,-7.10828658079785,5.73290041531163e-10,8.0098173635929e-07,12.4638728907409,GSE57218,OA
FN1,1.16688726336364,10.014030248803,7.24244724567564,6.14420991052424e-10,8.13267026525126e-07,12.4192680550127,GSE57218,OA
CAPS,0.604265732393939,9.00949530162121,7.06292979682409,7.14024377846023e-10,8.88390957769384e-07,12.257502874339,GSE57218,OA
TNFRSF11B,1.07205705709091,11.0034315119394,7.17364309418495,7.41827114921352e-10,8.88390957769384e-07,12.2385773048622,GSE57218,OA
LAMB3,0.680447446303031,7.837164346,7.06467891561041,1.13685544371474e-09,1.25488289683347e-06,11.8352606670419,GSE57218,OA
GPC5,-0.733084121030305,8.46018907681818,-7.03006762824545,1.14765225763131e-09,1.25488289683347e-06,11.8215654075422,GSE57218,OA
CXCL14,1.11041364836364,8.0018463510303,7.00941167355962,1.73195300529163e-09,1.81487025541996e-06,11.445352377007,GSE57218,OA
BPGM,0.43768574739394,8.08629361245455,6.83528992150709,1.86308896154565e-09,1.87419297175646e-06,11.3515378585617,GSE57218,OA
PLAUR,0.523630629121212,8.01705509531818,6.79206057842476,2.47477660206195e-09,2.39377526020215e-06,11.0875558876606,GSE57218,OA
OGN,0.717385739272727,10.9705041102727,6.77258166789516,2.64487513369824e-09,2.46355424953248e-06,11.0241529854563,GSE57218,OA
DYSF,0.828285959969697,9.16966447062121,6.81805510515111,2.97327985071945e-09,2.67053624877655e-06,10.9262999729526,GSE57218,OA
KCNN4,0.327610595242424,7.55493226443939,6.6803444392111,3.62266737385729e-09,3.14160213052196e-06,10.7239306065128,GSE57218,OA
SSTR2,-0.583231214545456,8.52393520609091,-6.68994666703403,3.7980442285961e-09,3.18390047683211e-06,10.6831048045659,GSE57218,OA
C6orf105,0.666150940818182,8.33382522931818,6.70203480397713,4.38094661115067e-09,3.55407826851059e-06,10.5567162250447,GSE57218,OA
CCNB1IP1,-0.378023212575759,9.52442798092424,-6.58974155491671,5.33630270151279e-09,4.19383364501079e-06,10.3583911655722,GSE57218,OA
NMT2,-0.403954879121214,8.3286668604394,-6.58115044600295,5.53558882361361e-09,4.21862191894117e-06,10.3237894550612,GSE57218,OA
JAM2,-0.34391166509091,7.91210250706061,-6.55023079126594,6.31586685849265e-09,4.5954165475688e-06,10.1993447958998,GSE57218,OA
CLIC6,0.535156083090908,9.19401925987879,6.54729238619023,6.39546618811515e-09,4.5954165475688e-06,10.1875256132116,GSE57218,OA
LOC440359,0.484734089212121,9.85601758951515,6.51693357726946,7.27839256697729e-09,5.0345124125823e-06,10.0654877313488,GSE57218,OA
PLCD4,-0.317541453363638,7.68612363289394,-6.51282127882911,7.40693304964591e-09,5.0345124125823e-06,10.0489674821959,GSE57218,OA
CRTAC1,0.520648769090908,13.7073652409091,6.49948934229787,7.83933197527311e-09,5.18819368016167e-06,9.99542693534649,GSE57218,OA
SPP1,1.33679496030303,11.7450921775455,6.59601605225991,9.04359269992944e-09,5.83172596950066e-06,9.88603663043371,GSE57218,OA
TNFRSF12A,0.743926961545455,8.19825508101515,6.51753605793314,1.10552418228365e-08,6.95070691506289e-06,9.69107722954067,GSE57218,OA
RAI14,0.680819163575757,9.83756875651515,6.39951204910608,1.3647333382221e-08,8.37114115193842e-06,9.478809898566,GSE57218,OA
IGFBP1,1.02461416960606,7.80360479722727,6.45560335268902,1.62802068097128e-08,9.74835526327302e-06,9.33274729550133,GSE57218,OA
HERC5,-0.44532808227273,7.91504703283333,-6.32476009929213,1.71574103234998e-08,1.00346909819929e-05,9.25856736274168,GSE57218,OA
ZNF385C,-0.264650001939396,7.44500450278788,-6.23866774467568,2.36468901037237e-08,1.33087981756288e-05,8.95375157304057,GSE57218,OA
TIMP3,0.91772527839394,10.8302495120152,6.322795548293,2.38139058373413e-08,1.33087981756288e-05,8.96608205683875,GSE57218,OA
SERPINE1,1.26420122927273,9.00003897372727,6.35294721357468,2.44543158095506e-08,1.33695997455302e-05,8.94886908064982,GSE57218,OA
LOC401152,-0.350110517666667,10.0775211742576,-6.22155957656087,2.5412323353387e-08,1.35977557449857e-05,8.88583515980841,GSE57218,OA
ST3GAL1,0.782520986333334,9.21298622774242,6.24528263022249,3.18011383186738e-08,1.66618089078401e-05,8.69194271696794,GSE57218,OA
ROR2,-0.334907400393941,8.00538365162121,-6.14755863619934,3.46758845204966e-08,1.77972208123667e-05,8.59269327765634,GSE57218,OA
LOC400464,-0.318607115181819,7.71656420728788,-6.13985142026955,3.58145756517051e-08,1.80140152612946e-05,8.56222246172934,GSE57218,OA
SNTB1,0.324633513060606,7.69668949340909,6.12998624278118,3.73261878924329e-08,1.84062019471921e-05,8.52323688270402,GSE57218,OA
PTTG1,0.280735953575757,7.85787326951515,6.10741847677782,4.10254959052001e-08,1.98413499330745e-05,8.43412440464052,GSE57218,OA
COL8A2,0.423306646242425,8.96738990627273,6.0549646523315,5.10824475752911e-08,2.42391032843584e-05,8.22739412326269,GSE57218,OA
DSG2,0.55842217560606,7.69146747671212,6.1139669321904,5.67282242624463e-08,2.64030570751373e-05,8.14896364408428,GSE57218,OA
TMCO3,0.430892460939393,10.6783732552879,6.02558550766746,5.77425797897551e-08,2.64030570751373e-05,8.11185018667751,GSE57218,OA
TNFSF10,0.399927165515152,7.86474808987879,5.98008378164708,7.12525739477003e-08,3.1998767539477e-05,7.91493554267468,GSE57218,OA
CHST13,0.763870474272729,7.8357622405303,6.06954220855571,7.3791484174163e-08,3.2395995872178e-05,7.90615234690003,GSE57218,OA
SRPX2,0.610078060696971,10.7257126789545,5.97320404681741,7.47134184494941e-08,3.2395995872178e-05,7.87139115907925,GSE57218,OA
ABI3BP,0.610442489878787,10.904709999,5.94903210600627,8.24283354628629e-08,3.51354272636532e-05,7.77866185681936,GSE57218,OA
COL11A2,-0.669102483181821,11.1901717738636,-5.9498096141917,8.68026472383294e-08,3.63833295899458e-05,7.73335153762142,GSE57218,OA
MALL,0.472924456030303,9.87910729716667,5.88976291181494,1.01513179571531e-07,4.15240542197027e-05,7.5800654773853,GSE57218,OA
BFSP1,0.350582518333333,7.95191967471212,5.88773322096761,1.02369532053822e-07,4.15240542197027e-05,7.57214939103366,GSE57218,OA
C9orf165,-0.326351393272728,7.36233687409091,-5.90496511882924,1.1686090449619e-07,4.60216870873391e-05,7.46040156281452,GSE57218,OA
