sample	group	series	tissue
GSM878100	Control	GSE35958	BM-MSC
GSM878101	Control	GSE35958	BM-MSC
GSM878102	Control	GSE35958	BM-MSC
GSM878103	Control	GSE35958	BM-MSC
GSM878104	OP	GSE35958	BM-MSC
GSM878105	OP	GSE35958	BM-MSC
GSM878106	OP	GSE35958	BM-MSC
GSM878107	OP	GSE35958	BM-MSC
GSM878108	OP	GSE35958	BM-MSC
