iter,AUC_MSC,AUC_MONO
145,0.2,0.356850853548967
146,0.45,0.554604672057502
147,0.1,0.478728661275831
148,0.35,0.544788858939802
149,0.35,0.379964061096137
150,0.5,0.391419586702606
151,0.6,0.62059748427673
152,0.35,0.471495956873315
153,0.35,0.378526504941599
154,0.7,0.545575022461815
155,0.45,0.507637017070979
156,0.8,0.398944294699012
157,0.3,0.545395327942498
158,0.6,0.43225516621743
159,0.2,0.524775381850854
160,0.25,0.510467205750225
161,0.25,0.453840970350404
162,0.3,0.393935309973046
163,0.1,0.487264150943396
164,0.6,0.492273135669362
165,0.3,0.598854447439353
166,0.85,0.419272237196765
167,0.3,0.474213836477987
168,0.35,0.516105121293801
169,0.2,0.461141060197664
170,0.4,0.562758310871518
171,0.2,0.46615004492363
172,0.15,0.458176100628931
173,0.55,0.572237196765499
174,0.4,0.511859838274933
175,0.25,0.430682839173405
176,0.6,0.525112309074573
177,0.5,0.390049415992812
178,0.25,0.485309973045822
179,0.35,0.442138364779874
180,0.9,0.504043126684636
181,0.45,0.480929919137466
182,0.45,0.46992362982929
183,0.15,0.471900269541779
184,0.45,0.397506738544474
185,0.55,0.515610961365678
186,0.4,0.360130278526505
187,0.95,0.461567834681042
188,0.1,0.503301886792453
189,0.5,0.501302785265049
190,0.1,0.336230907457323
191,0.3,0.567857142857143
192,0.3,0.512780772686433
193,0.7,0.410916442048518
194,0.55,0.527133872416891
195,0.3,0.458782569631626
196,0.45,0.406064690026954
197,0.6,0.397933513027853
198,0.1,0.482906558849955
199,0.6,0.473203054806828
200,0,0.466891284815813
