iter,AUC_MSC,AUC_MONO
1,0.2,0.382210242587601
2,0.6,0.482434860736748
3,0.2,0.519384546271339
4,0.25,0.58796046720575
5,0.65,0.477470799640611
6,0.2,0.490633423180593
7,0.55,0.566172506738545
8,0.5,0.478099730458221
9,0.65,0.528301886792453
10,0.9,0.511320754716981
11,0.45,0.491823899371069
12,0.75,0.495530098831986
13,0.2,0.38544474393531
14,0.75,0.521203953279425
15,0.1,0.479537286612758
16,0.5,0.555053908355795
17,0.15,0.546001796945193
18,0.65,0.436949685534591
19,0.55,0.502358490566038
20,0.95,0.483827493261456
21,0,0.597012578616352
22,0.7,0.411949685534591
23,0.6,0.403054806828392
24,0.75,0.576100628930818
25,0.5,0.498360287511231
26,0.4,0.522079964061096
27,0.25,0.465453728661276
28,0.1,0.514577717879605
29,0.2,0.431356693620845
30,0.75,0.577111410601977
31,0.85,0.568778077268643
32,0.15,0.56707097933513
33,0.1,0.284433962264151
34,0.15,0.525988319856244
35,0.2,0.475449236298293
36,0.25,0.439824797843666
37,0.55,0.366554357592094
38,0.2,0.584411500449236
39,0.6,0.470125786163522
40,0.55,0.532659478885894
41,0.6,0.543688230008985
42,0.8,0.499910152740341
43,0.15,0.484411500449236
44,0.75,0.479222821203953
45,0.05,0.54714734950584
46,0.1,0.507973944294699
47,0.75,0.539398023360288
48,0.85,0.434456424079066
49,0.7,0.461096136567835
50,0.55,0.591082659478886
51,0.15,0.567093441150045
52,0.25,0.338769092542677
53,0.45,0.59777628032345
54,0.3,0.510354896675651
55,0.2,0.390116801437556
56,0.35,0.543149146451033
57,0.25,0.499056603773585
58,0.6,0.533827493261456
59,0.5,0.543800539083558
60,0.3,0.516801437556155
61,0.15,0.461635220125786
62,0.6,0.353683737646002
63,0.65,0.438432165318958
64,0.45,0.408288409703504
65,0.2,0.513544474393531
66,0.3,0.523764600179695
67,0.5,0.433063791554358
68,0.1,0.496473495058401
69,0.55,0.502807726864331
70,0.65,0.478436657681941
71,0.65,0.474056603773585
72,0.5,0.457479784366577
73,0.2,0.522237196765499
74,0.3,0.426639712488769
75,1,0.384321653189578
76,0.55,0.49903414195867
77,0.2,0.669204851752022
78,0.4,0.457637017070979
79,0.6,0.447529200359389
80,0.4,0.3838948787062
81,0.85,0.450134770889488
82,0.7,0.640229110512129
83,0.7,0.461814914645103
84,0,0.666958670260557
85,0.55,0.521046720575022
86,0.3,0.561388140161725
87,0.75,0.482232704402516
88,0.6,0.507973944294699
89,0.45,0.409658580413297
90,0.5,0.428908355795148
91,0.25,0.349932614555256
92,0.25,0.506558849955076
93,0.05,0.445080862533693
94,0.45,0.539600179694519
95,0.25,0.595215633423181
96,0.1,0.547798742138365
97,0.45,0.401437556154537
98,0.4,0.50251572327044
99,0.25,0.496765498652291
100,0.4,0.525718778077269
101,0.5,0.523584905660377
102,1,0.483939802336029
103,0.75,0.333243486073675
104,0.85,0.54303683737646
105,0.1,0.451819407008086
106,0.7,0.506199460916442
107,0.85,0.466307277628032
108,0.2,0.517654986522911
109,0.35,0.378301886792453
110,0.65,0.547551662174304
111,0.6,0.46455525606469
112,0.4,0.430188679245283
113,0.2,0.515566037735849
114,0.3,0.58167115902965
115,0.8,0.443059299191375
116,0.55,0.553167115902965
117,0.45,0.539173405211141
118,0.4,0.420462713387242
119,0.4,0.578863432165319
120,0.2,0.393755615453729
121,0.35,0.438432165318958
122,0,0.535669362084457
123,0.75,0.479896675651393
124,0.1,0.412084456424079
125,0.75,0.51740790655885
126,0.2,0.408647798742138
127,0.8,0.55159478885894
128,0.3,0.389982030548068
129,0.6,0.4142632524708
130,0.05,0.561500449236298
131,0.55,0.410197663971249
132,0.55,0.524123989218329
133,1,0.490026954177898
134,0.05,0.552830188679245
135,0.3,0.490498652291105
136,0.45,0.537398921832884
137,0.7,0.458423180592992
138,0.7,0.526392632524708
139,0.4,0.454582210242588
140,0.4,0.490566037735849
141,0.95,0.469743935309973
142,0.3,0.578706199460917
143,0.35,0.665588499550764
144,0.95,0.373719676549865
