celltype_short,HC1,HC2,HC3,OA1,OA2,OA3
CPC,0.0302171860245515,0.0892402963618268,0.0736842105263158,0.0412979351032448,0.0551815340226016,0.0614712798118912
FC,0.112370160528801,0.114453168196395,0.121491228070175,0.100884955752212,0.089925462851647,0.0725562646960027
MTC,0.0747335761500067,0.077186774300564,0.123684210526316,0.110619469026549,0.0910074537148353,0.100100772589856
PreFC,0.00445163901254553,0.0201260643591728,0.0159356725146199,0.0176991150442478,0.0131041115652801,0.0100772589855559
PreHTC,0.361527047079455,0.266725644144642,0.223684210526316,0.257522123893805,0.326881461889877,0.294927779643937
RegC,0.178874949413193,0.179475837664492,0.176608187134503,0.186430678466077,0.177927386390959,0.186765199865637
RegC2,0.176446782679077,0.185004976224704,0.202923976608187,0.215781710914454,0.208944457802356,0.222035606315082
RepC,0.0613786591123702,0.067787238748203,0.0619883040935673,0.06976401179941,0.0370281317624429,0.052065838092039
