sample,group,celltype_short,Splicing,Osteogenic,Chondro,Hypertrophy
HC1,Healthy,FC,0.146731865540102,0.525228883647877,0.465361825878068,0.358412566276935
HC1,Healthy,MTC,0.116032429903025,0.530486255031469,0.506725556112945,0.319313754882741
HC1,Healthy,RegC2,0.115977887526832,0.50863654110423,0.4733657312776,0.272157132977797
HC1,Healthy,RegC,0.137552353186113,0.514312063820447,0.505330897694291,0.297078363486701
HC1,Healthy,PreHTC,0.120229284445335,0.528981030543334,0.520308022705171,0.330373386422027
HC1,Healthy,CPC,0.12495148814501,0.495820077661421,0.467213236583003,0.26979497922765
HC1,Healthy,RepC,0.154655754576823,0.55080021665712,0.50221956301423,0.352301280944905
HC1,Healthy,PreFC,0.112520303616982,0.497576185453557,0.521414514413673,0.33326183399879
HC2,Healthy,MTC,0.0588986263220791,0.423827777777679,0.497895628596755,0.302282731426506
HC2,Healthy,FC,0.0861417095971202,0.433575617571474,0.478900523708793,0.315173221651695
HC2,Healthy,RepC,0.079880502013209,0.463154129846685,0.551468329848481,0.301806315898455
HC2,Healthy,PreFC,0.0780890615914279,0.408178447186083,0.459744046065982,0.272318761653682
HC2,Healthy,RegC,0.0825994847629543,0.437360741678614,0.514047536986678,0.306818627989056
HC2,Healthy,RegC2,0.0687846936289129,0.407355258140778,0.447740268064692,0.24830464353115
HC2,Healthy,PreHTC,0.05832753365607,0.42318790604513,0.513771630998059,0.325077366437056
HC2,Healthy,CPC,0.089894482138818,0.381536786844467,0.381195189001673,0.197399392703985
HC3,Healthy,RegC2,0.105508570152349,0.464686857070452,0.506359491602435,0.278816553356365
HC3,Healthy,MTC,0.109043752415544,0.50864826142782,0.576278860085778,0.357926635812025
HC3,Healthy,RegC,0.118054722470714,0.481291992675835,0.547042367035336,0.320539133379275
HC3,Healthy,FC,0.128492402973467,0.491647536813194,0.527990900143502,0.32597443859909
HC3,Healthy,PreHTC,0.114253340496086,0.493065811924832,0.559129907269994,0.347719878981975
HC3,Healthy,RepC,0.119890395471423,0.511524221852519,0.584015964252855,0.351246241696913
HC3,Healthy,PreFC,0.113922966503791,0.465482273446238,0.518561171822713,0.297103344058921
HC3,Healthy,CPC,0.144158214708691,0.441260941529769,0.436233349497211,0.224555805895491
OA1,OA,RegC2,0.0843025340330295,0.427584525788117,0.505360379429152,0.259574689501856
OA1,OA,MTC,0.0910616038364047,0.47085204413415,0.570624946761942,0.335513493668981
OA1,OA,RegC,0.120305781522278,0.463088494773407,0.551425403318127,0.328358010450276
OA1,OA,FC,0.119170027129331,0.443778800722859,0.51030026713142,0.314624616424578
OA1,OA,PreFC,0.119717578577322,0.422710050000054,0.495428508789099,0.232700640519665
OA1,OA,RepC,0.115221183401497,0.495166435865805,0.590324907652304,0.354496062856755
OA1,OA,CPC,0.113951789776585,0.410537033664274,0.456807236583977,0.239534514256671
OA1,OA,PreHTC,0.089127499478001,0.449270514487299,0.558709194509131,0.332598608307536
OA2,OA,MTC,0.0818110644387904,0.376511150778041,0.373461321616663,0.036687502059095
OA2,OA,FC,0.102245920387367,0.390751351193193,0.387700605275505,0.0806264610637069
OA2,OA,RegC2,0.080449134571874,0.364420828657054,0.333562009949039,-0.019002786929247
OA2,OA,RepC,0.09944187188954,0.436312159713465,0.480552040007918,0.113055055713875
OA2,OA,CPC,0.113955870136591,0.362956686191525,0.306462979982295,-0.0234769830031125
OA2,OA,RegC,0.0998105944389436,0.393995290743576,0.395982876151445,0.0519827513196581
OA2,OA,PreHTC,0.079960168437213,0.386924056845586,0.392328622674407,0.0645720025033953
OA2,OA,PreFC,0.111446320908721,0.382558699131287,0.380195569058986,0.0364454427075394
OA3,OA,RegC,0.107295282294539,0.298560645643749,0.327139157880002,-0.127703515509308
OA3,OA,RegC2,0.117467929400878,0.277460227206052,0.211216223028516,-0.215009346528839
OA3,OA,FC,0.0940903070263046,0.292780271124461,0.291461400192689,-0.0997967066571224
OA3,OA,PreHTC,0.0776432007135108,0.285493581297381,0.29188714355441,-0.143251193782355
OA3,OA,RepC,0.0824659213588735,0.343334791366459,0.379618227547239,-0.0598803858597765
OA3,OA,MTC,0.0830720448280655,0.278309477421271,0.273037914116094,-0.163913156878603
OA3,OA,PreFC,0.0889052123034274,0.337538864997793,0.339147335900789,-0.051162723695349
OA3,OA,CPC,0.136075752125335,0.255731739562582,0.150465826278008,-0.247994307171255
