measure,mean_HC,mean_OA,delta,P
Raw (composition-confounded),0.105589595245811,0.0956747975055633,-0.00991479774024734,0.618116850761652
Composition-adjusted (celltype-equal weight),0.107691326076787,0.100374774708934,-0.00731655136785235,0.701656908750281
